"morandin.ogg","module","blast2GOannotation"
"EOG7NSKXD",1,"hypothetical protein SINV_03043"
"EOG7NWG47",1,"Katanin p80 WD40-containing subunit B1"
"EOG7P0BC8",1,"Aryl hydrocarbon receptor nuclear translocator-like protein"
"EOG7P0BD0",1,"hypothetical protein SINV_04254"
"EOG7P36MD",1,"Tyramine beta-hydroxylase"
"EOG7P36MM",1,"hypothetical protein SINV_80166"
"EOG7P36MN",1,"Protein salvador-like protein 1"
"EOG7P62TZ",1,"PR domain zinc finger protein 10"
"EOG7P62V7",1,"Protein lines"
"EOG7P8Z2X",1,"PREDICTED: protein KIAA0317-like"
"EOG7PGPKP",1,"hypothetical protein G5I_07269"
"EOG7PPF29",1,"Spermine synthase"
"EOG7PPF2H",1,"hypothetical protein SINV_11495"
"EOG7PS99R",1,"hypothetical protein EAG_09611"
"EOG7Q01RW",1,"PREDICTED: transcriptional enhancer factor TEF-1-like"
"EOG7Q01S3",1,"hypothetical protein EAG_05287"
"EOG7QGCZM",1,"hypothetical protein SINV_13253"
"EOG7QK86C",1,"hypothetical protein SINV_02688"
"EOG7QP4DX",1,"HEAT repeat-containing protein 5B"
"EOG7QS0P5",1,"hypothetical protein SINV_00931"
"EOG7QVVX6",1,"Mitochondrial chaperone BCS1"
"EOG7R2MCP",1,"Trithorax group protein osa"
"EOG7R2MDV",1,"39SribosomalproteinL52,mitochondrial"
"EOG7R5GMR",1,"CG3862-PA-like protein"
"EOG7R8BVG",1,"PREDICTED: spectrin beta chain"
"EOG7RC73N",1,"hypothetical protein SINV_11907"
"EOG7RG3BD",1,"Exportin-1"
"EOG7RG3BW",1,"hypothetical protein SINV_03092"
"EOG7RG3C1",1,"hypothetical protein SINV_13944"
"EOG7RG3C7",1,"Aquaporin AQPAn.G"
"EOG7RJZKP",1,"Glucose dehydrogenase"
"EOG7RNTT7",1,"hypothetical protein SINV_15812"
"EOG7RNTTC",1,"hypothetical protein SINV_01456"
"EOG7RRQ24",1,"Protein C1orf9-like protein"
"EOG7RRQ27",1,"hypothetical protein SINV_07107"
"EOG7RVK97",1,"Integrator complex subunit 3"
"EOG7RZFJ3",1,"hypothetical protein SINV_04691"
"EOG7S29SP",1,"hypothetical protein SINV_03018"
"EOG7S5618",1,"PREDICTED: protein kinase C iota type"
"EOG7S827Z",1,"Transient receptor potential channel pyrexia"
"EOG7S8282",1,"hypothetical protein SINV_01822"
"EOG7S8292",1,"Broad-complex core protein isoform 6"
"EOG7SFSR1",1,"hypothetical protein SINV_03720"
"EOG7SFSRG",1,"hypothetical protein SINV_07392"
"EOG7SRDGB",1,"PREDICTED: splicing factor 3B subunit 4-like"
"EOG7SV8PC",1,"Low-density lipoprotein receptor-related protein 2"
"EOG7T215B",1,"hypothetical protein SINV_07170"
"EOG7T7RP3",1,"Lontudinalslackingprotein,isoformG"
"EOG7TBMW5",1,"hypothetical protein SINV_05857"
"EOG7TBMWN",1,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"
"EOG7TBMWP",1,"Rhomboid-related protein 3"
"EOG7TFH4X",1,"hypothetical protein EAG_10128"
"EOG7TJCCT",1,"Methionine-R-sulfoxide reductase B1"
"EOG7TV038",1,"hypothetical protein SINV_03761"
"EOG7TXV9Q",1,"Pleckstrin-like proteiny domain-containing family G member 1"
"EOG7TXV9V",1,"hypothetical protein SINV_16517"
"EOG7TXVB6",1,"Probable succinyl-CoA ligase"
"EOG7TXVB7",1,"Makorin-1"
"EOG7V4KSV",1,"hypothetical protein EAG_14652"
"EOG7V4KSX",1,"mRNA-decapping enzyme 1A"
"EOG7V7G1H",1,"hypothetical protein SINV_02609"
"EOG7V7G1P",1,"Rab5 GDP/GTP exchange factor"
"EOG7V7G24",1,"hypothetical protein SINV_07719"
"EOG7VMZ05",1,"Telomere-associated protein RIF1"
"EOG7VQT78",1,"Kelch-like ECH-associated protein 1"
"EOG7VQT7C",1,"hypothetical protein EAG_06142"
"EOG7VTPGQ",1,"hypothetical protein G5I_04641"
"EOG7VXJQ9",1,"hypothetical protein SINV_03717"
"EOG7W1DZ2",1,"DNA ligase 3"
"EOG7W4968",1,"hypothetical protein SINV_15933"
"EOG7W75F9",1,"Putative protein-cysteine N-palmitoyltransferase porcupine"
"EOG7WB1NW",1,"Zinc finger CCCH domain-containing protein 14"
"EOG7WB1P2",1,"hypothetical protein SINV_14672"
"EOG7WDWWM",1,"Centrosomal protein of 152 kDa"
"EOG7WDWWW",1,"Serine/threonine-protein kinase minibrain"
"EOG7WDWX0",1,"hypothetical protein SINV_04412"
"EOG7WMNCK",1,"AT-rich interactive domain-containing protein 2"
"EOG7WTCVS",1,"E3 ubiquitin-protein ligase KCMF1"
"EOG7WX83D",1,"Syntaxin-binding protein 5"
"EOG7WX83V",1,"CCR4-NOT transcription complex subunit 6-like-B"
"EOG7WX84B",1,"Zinc finger CCCH domain-containing protein 11A"
"EOG7X40M0",1,"hypothetical protein X777_04581"
"EOG7X6VT8",1,"AP-3 complex subunit beta-2"
"EOG7XHGJJ",1,"Collagen alpha-1(XXI) chain"
"EOG7XHGK3",1,"hypothetical protein EAG_16178"
"EOG7XQ70P",1,"RAB6IP1-like protein"
"EOG7XQ716",1,"hypothetical protein SINV_07159"
"EOG7XWZGK",1,"hypothetical protein SINV_07182"
"EOG7Z0TQK",1,"hypothetical protein SINV_06258"
"EOG7Z0TR6",1,"Double-stranded RNA-specific editase Adar"
"EOG7Z3PZV",1,"hypothetical protein SINV_14552"
"EOG7Z6K6J",1,"hypothetical protein SINV_01464"
"EOG7Z9FFF",1,"cGMP-dependent protein kinase 1 fora ng"
"EOG7ZD9Q4",1,"Ras-related protein Rab-40C"
"EOG7ZH5X6",1,"Putative methyltransferase CXorf34"
"EOG7ZM252",1,"hypothetical protein SINV_12591"
"EOG7ZM254",1,"hypothetical protein SINV_06196"
"EOG7ZM25N",1,"Zinc finger protein 557"
"EOG7ZM25P",1,"hypothetical protein SINV_00851"
"EOG7ZM266",1,"Serine/ar nine repetitive matrix protein 2"
"EOG7ZPXD4",1,"hypothetical protein SINV_05121"
"EOG7ZSSN1",1,"PREDICTED: hypothetical protein LOC100644135 isoform 1"
"EOG7ZSSNT",1,"hypothetical protein EAG_04824"
"EOG7ZWNWB",1,"hypothetical protein SINV_07090"
"EOG700J33",2,"hypothetical protein SINV_10929"
"EOG700J36",2,"Importin-9"
"EOG70D11S",2,"Histone-lysineN-methyltransferase,H3lysine-9specific5"
"EOG70D126",2,"E3 ubiquitin-protein ligase CBL"
"EOG70GW9M",2,"hypothetical protein SINV_03351"
"EOG70SH0P",2,"Oxysterol-binding protein 1"
"EOG70SH0Z",2,"Eukaryotic initiation factor 4A-III"
"EOG7133Q9",2,"hypothetical protein SINV_03476"
"EOG7133QF",2,"Putative serine/threonine-protein kinase haspin-like protein"
"EOG7133QN",2,"Ubiquitin carboxyl-terminal hydrolase 3"
"EOG718V6G",2,"hypothetical protein G5I_01258"
"EOG71CQF3",2,"PREDICTED: ribonuclease 3"
"EOG71CQFX",2,"hypothetical protein SINV_05638"
"EOG71PB4X",2,"Enhancer of mRNA-decapping protein 4"
"EOG71PB5T",2,"Zinc transporter ZIP11"
"EOG71W2MV",2,"SAPS domain family member 3"
"EOG725PBK",2,"hypothetical protein SINV_06202"
"EOG728JKP",2,"hypothetical protein DAPPUDRAFT_308639"
"EOG728JKS",2,"Ras association domain-containing protein 8"
"EOG72K59C",2,"UPF0505 protein C16orf62-like protein"
"EOG72K59T",2,"Serine protease gd"
"EOG72P1J6",2,"Tyrosine-protein kinase-like 7"
"EOG72P1JH",2,"MAM domain-containing glycosylphosphatidylinositol anchor protein 1"
"EOG72VS23",2,"Dehydrogenase/reductase SDR family member"
"EOG72ZN85",2,"hypothetical protein SINV_00679"
"EOG732HH3",2,"hypothetical protein SINV_09453"
"EOG735CR2",2,"hypothetical protein SINV_12866"
"EOG73880B",2,"Wiskott-Aldrich syndrome protein"
"EOG73C46Q",2,"Integrin alpha-PS2"
"EOG73VGDR",2,"Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4"
"EOG73ZBNR",2,"Wiskott-Aldrich syndrome protein family member 3"
"EOG7426W6",2,"WD repeat-containing protein 7"
"EOG74534C",2,"Protein cueball"
"EOG74534D",2,"PREDICTED: serine/threonine-protein kinase tricorner"
"EOG747ZC5",2,"hypothetical protein SINV_02435"
"EOG747ZC6",2,"Procollagen-lysine,2-oxoglutarate5-dioxygenase3"
"EOG74FPVM",2,"Abhydrolase domain-containing protein FAM108B1"
"EOG74JK2W",2,"AP2-associated protein kinase 1"
"EOG74NFBR",2,"Protein spitz"
"EOG751X99",2,"Putative eukaryotic translation initiation factor 6"
"EOG754SHQ",2,"hypothetical protein SINV_07000"
"EOG757NRG",2,"Fanconi anemia group M protein"
"EOG757NRT",2,"Dyneinintermediatechain2,axonemal"
"EOG757NS6",2,"hypothetical protein SINV_07548"
"EOG75BJ0J",2,"hypothetical protein SINV_07930"
"EOG75J8GK",2,"Neuronal acetylcholine receptor subunit alpha-7"
"EOG75N4Q6",2,"DNA polymerase delta catalytic subunit"
"EOG75XRF7",2,"Pumilio domain-containing protein KIAA0020-like protein"
"EOG761MP2",2,"hypothetical protein SINV_08236"
"EOG764GWX",2,"RING finger protein 185"
"EOG764GX8",2,"Zinc finger protein 800"
"EOG76B7CQ",2,"hypothetical protein SINV_80069"
"EOG76B7CX",2,"Carboxypeptidase M"
"EOG76B7D6",2,"Coiled-coil domain-containing protein 149"
"EOG76HZVS",2,"hypothetical protein SINV_14781"
"EOG76TKKB",2,"hypothetical protein EAG_10410"
"EOG76TKKG",2,"Kidney mitochondrial carrier protein 1"
"EOG76TKKK",2,"Putative ATP-dependent RNA helicase DHX33"
"EOG771B2K",2,"PREDICTED: RISC-loading complex subunit tarbp2-like"
"EOG7772JG",2,"hypothetical protein G5I_04559"
"EOG779XRW",2,"hypothetical protein SINV_05651"
"EOG77MJGQ",2,"Rap guanine nucleotide exchange factor 2"
"EOG77T8ZV",2,"Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha"
"EOG77X56K",2,"Glutamatereceptor,ionotropickainate1"
"EOG783WPM",2,"An otensin-converting enzyme"
"EOG789N5B",2,"hypothetical protein EAG_07347"
"EOG789N5M",2,"hypothetical protein SINV_09749"
"EOG78HCN4",2,"Uncharacterized protein"
"EOG78Q448",2,"hypothetical protein SINV_09194"
"EOG78T0CK",2,"hypothetical protein EAG_15117"
"EOG78WVM1",2,"SAM and SH3 domain-containing protein 1"
"EOG78WVMJ",2,"hypothetical protein SINV_02949"
"EOG793M2S",2,"hypothetical protein SINV_04460"
"EOG799BJN",2,"Hemicentin-1"
"EOG79H31H",2,"hypothetical protein SINV_03585"
"EOG79H322",2,"hypothetical protein SINV_13634"
"EOG79PTHB",2,"Casein kinase I isoform alpha"
"EOG79PTJB",2,"hypothetical protein SINV_08732"
"EOG79WK05",2,"Rho GTPase-activating protein 190"
"EOG79WK06",2,"Mitogen-activated protein kinase kinase kinase 9"
"EOG79WK17",2,"TOX high mobility group box family member"
"EOG7B39FX",2,"WD repeat and FYVE domain-containing protein 3"
"EOG7B39G1",2,"Guanine nucleotide-releasing factor 2"
"EOG7B39GP",2,"hypothetical protein SINV_05393"
"EOG7BKNNZ",2,"Protein CLEC16A"
"EOG7BW8CR",2,"Death-associated protein kinase 1"
"EOG7BW8CZ",2,"Probable palmitoyltransferase ZDHHC14"
"EOG7C30VN",2,"hypothetical protein SINV_13997"
"EOG7C5W3N",2,"Acetylcholine receptor subunit beta-like 2"
"EOG7CGGT7",2,"hypothetical protein SINV_04150"
"EOG7CKC2B",2,"Transmembrane protein 201"
"EOG7CKC2D",2,"Flotillin-1"
"EOG7CZV0R",2,"hypothetical protein SINV_07891"
"EOG7D2Q7T",2,"hypothetical protein EAG_07997"
"EOG7D2Q84",2,"ADP-dependent glucokinase"
"EOG7D5KH0",2,"hypothetical protein SINV_12082"
"EOG7DC9ZH",2,"PREDICTED: uncharacterized protein KIAA1370 homolog"
"EOG7DC9ZV",2,"Protein ST7-like protein"
"EOG7DG679",2,"PREDICTED: hypothetical protein LOC100651894"
"EOG7DRSX8",2,"Protein lin-54-like protein"
"EOG7DZJDB",2,"Tyrosine-protein kinase CSK"
"EOG7FC1BQ",2,"Sentrin-specific protease 7"
"EOG7FJRTZ",2,"hypothetical protein SINV_02989"
"EOG7FVCJH",2,"Putative fatty acyl-CoA reductase"
"EOG7G5089",2,"60S ribosomal protein L35"
"EOG7G508X",2,"Transcription initiation factor TFIID subunit 8"
"EOG7GFM06",2,"E3 ubiquitin-protein ligase 40238"
"EOG7GXZ64",2,"hypothetical protein SINV_13030"
"EOG7H1TDS",2,"X-linked retinitis pigmentosa GTPase regulator"
"EOG7H1TDT",2,"Prolyl 4-hydroxylase subunit alpha-1"
"EOG7HJ5MN",2,"DNA-binding protein Ikaros"
"EOG7HXNKH",2,"hypothetical protein SINV_06351"
"EOG7J7894",2,"hypothetical protein SINV_04859"
"EOG7J789H",2,"PREDICTED: protein SET-like"
"EOG7JF0RS",2,"hypothetical protein SINV_01183"
"EOG7JMR7Z",2,"26S proteasome non-ATPase regulatory subunit 5"
"EOG7JQMH8",2,"hypothetical protein SINV_01641"
"EOG7JTGQR",2,"Cysteine protease ATG4D"
"EOG7K176C",2,"Receptor-interacting serine/threonine-protein kinase 5"
"EOG7K43F1",2,"Bifunctional protein NCOAT"
"EOG7K43F2",2,"hypothetical protein SINV_04184"
"EOG7K9TX0",2,"Protein LAP2"
"EOG7KDQ4V",2,"hypothetical protein SINV_80122"
"EOG7KHKD8",2,"hypothetical protein SINV_12264"
"EOG7KMFNV",2,"Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2"
"EOG7KQ9VZ",2,"Macrophage erythroblast attacher"
"EOG7M0XKQ",2,"hypothetical protein SINV_09800"
"EOG7M0XKW",2,"hypothetical protein SINV_00469"
"EOG7M3STF",2,"unknown"
"EOG7M3STQ",2,"CytochromeP450314a1,mitochondrial"
"EOG7M9J99",2,"Putative phospholipid-transporting ATPase IF"
"EOG7M9J9W",2,"Homeotic protein deformed"
"EOG7MM51S",2,"Probablesplicingfactor,arnine/serine-rich7"
"EOG7MQ189",2,"MAP kinase-activated protein kinase 2"
"EOG7MQ18M",2,"hypothetical protein SINV_03127"
"EOG7MWRR9",2,"Protein bric-a-brac 2"
"EOG7MWRRF",2,"hypothetical protein SINV_01369"
"EOG7N3H71",2,"hypothetical protein SINV_15572"
"EOG7N3H79",2,"hypothetical protein SINV_14653"
"EOG7N97Q7",2,"Putative odorant receptor 13a"
"EOG7NKVD9",2,"E3 ubiquitin-protein ligase synoviolin"
"EOG7P0BC9",2,"Acetylcholine receptor subunit alpha-like"
"EOG7P0BCS",2,"hypothetical protein SINV_12082"
"EOG7P62V6",2,"hypothetical protein SINV_09976"
"EOG7P62W1",2,"Flightin"
"EOG7PCTBN",2,"hypothetical protein SINV_10152"
"EOG7PKJSP",2,"Tumor suppressor p53-binding protein 1"
"EOG7PKJSZ",2,"Putative tyrosine-protein kinase Wsck"
"EOG7PS993",2,"DNA-directed RNA polymerase I subunit RPA49"
"EOG7PW5HF",2,"Helicase domino"
"EOG7Q5S78",2,"hypothetical protein EAG_07369"
"EOG7QCHQC",2,"Phosphoenolpyruvate carboxykinase"
"EOG7QCHQX",2,"Mps one binder kinase activator-like 3"
"EOG7QP4FJ",2,"UPF0564 protein FAM161A"
"EOG7QVVX5",2,"ligand-gated chloride channel homolog 3"
"EOG7QZR4X",2,"hypothetical protein SINV_11306"
"EOG7R5GN0",2,"hypothetical protein SINV_06451"
"EOG7R8BVT",2,"Zinc finger protein 567"
"EOG7RG3BJ",2,"hypothetical protein SINV_10649"
"EOG7RRQ30",2,"hypothetical protein SINV_02502"
"EOG7RZFJF",2,"UDP-N-acetylhexosamine pyrophosphorylase"
"EOG7SBXGP",2,"Nipped-B-like protein"
"EOG7SFSRK",2,"hypothetical protein SINV_13418"
"EOG7SNJ6K",2,"hypothetical protein SINV_08392"
