gene,NCBI_GeneID,NCBI_TranscriptID,CG_OE,GC_OE,Gene_body_methylation
GB55203,LOC413894,NM_001098228.1,1.106631857,0.78777183,0.00244591
GB53428,LOC726079,NM_001098229.1,1.176800166,0.976966176,0.00707887
GB55629,LOC726393,NM_001098232.1,1.064135786,1.138377818,0.00336906
GB45446,LOC100049551,NM_001098234.1,0.661599471,1.323198942,0.07926965
GB51696,LOC409354,NM_001098717.1,1.219861316,0.939893145,0.00369723
GB44996,LOC551648,NM_001101023.1,0.515997765,0.885563732,0.05977037
GB40150,LOC408423,NM_001104949.1,1.077207035,1.020759504,0.00315114
GB46057,LOC100126690,NM_001110712.2,1.220199345,0.721026886,0.00534528
GB51698,LOC726848,NM_001110764.1,1.171451339,0.971772134,0.00437802
GB55036,LOC725126,NM_001111255.1,1.27826048,0.99324294,0.00301697
GB47018,LOC724886,NM_001112670.1,1.445910648,0.888632586,0.0094245
GB55489,LOC410795,NM_001112671.1,1.436464821,0.842264514,0.00316719
GB47045,LOC551408,NM_001112672.2,0.540686586,1.007643183,0.11973388
GB47120,LOC413211,NM_001113285.1,1.195365977,0.861228243,0.00267358
GB55302,LOC551643,NM_001113739.1,1.179946267,1.043798621,0.00254169
GB55405,LOC410818,NM_001114188.1,1.211338188,1.012841594,0.00348102
GB55452,LOC552391,NM_001114198.1,0.773773471,1.38173834,0.00266667
GB47493,LOC724456,NM_001115078.1,1.230964027,0.907284243,0.0029313
GB44595,LOC552127,NM_001123013.2,0.498575601,1.250525687,0.29106274
GB45028,LOC410337,NM_001126243.1,1.318631945,0.759889596,0.00349464
GB53756,LOC410928,NM_001126244.1,1.059369507,1.07898746,0.00428929
GB40095,LOC726710,NM_001131037.1,0.961690655,0.961690655,0.0038235
GB44678,LOC100174948,NM_001131038.1,0.813377773,1.094931617,0.30108677
GB52756,LOC408474,NM_001134227.1,1.306534258,0.702825325,0.00255294
NA,LOC100187599,NM_001134333.1,0.402857143,1.41,NA
GB53410,LOC100187709,NM_001134371.1,0.806963646,0.403481823,0
GB43305,LOC409389,NM_001134668.1,0.819287945,1.049263508,0.14786855
GB43306,LOC100188904,NM_001134669.1,0.618644068,0.989830508,0.00397061
NA,LOC100188940,NM_001134722.1,0.772058824,2.316176471,NA
GB47020,LOC724970,NM_001134828.1,1.253894081,0.665331553,0.11589236
GB54918,LOC406071,NM_001134934.1,1.22265151,1.046589693,0.00259146
GB55036,LOC725126,NM_001134935.1,1.376551327,1.045752171,0.00297067
GB55036,LOC725126,NM_001134936.1,1.499136748,1.096007538,0.00307293
GB40732,LOC406080,NM_001134940.1,0.849064811,1.061331013,0.00522415
GB40733,LOC100188973,NM_001134942.1,0.759449785,1.123985682,0.29177008
GB40730,LOC725384,NM_001134943.1,0.8289434,1.021162159,0.00405744
GB43571,LOC406105,NM_001134947.1,1.436330379,0.755311665,0.00336969
GB43222,LOC406106,NM_001134948.1,1.335657129,0.7290037,0.00266234
GB49534,LOC406107,NM_001134949.1,0.913651509,1.063999226,0.01141229
GB49535,LOC551691,NM_001134950.1,1.277043269,1.008864183,0.0033301
GB40673,LOC406119,NM_001135735.1,0.955940395,1.330004027,0.00685941
GB47650,LOC724966,NM_001135905.1,1.802955665,1.442364532,0.13287896
NA,LOC100191002,NM_001135909.1,1.104536489,1.893491124,NA
GB45505,LOC725609,NM_001136187.1,1.305688464,1.523303208,0.00234375
GB53621,LOC724771,NM_001136206.1,0.996630652,1.507403862,0.00582079
GB53622,LOC100192200,NM_001136207.1,1.063132545,1.630136569,0.00368874
GB53623,LOC100192201,NM_001136208.1,1.097080664,1.382778754,0.00288101
GB53624,LOC100192202,NM_001136209.1,1.074027317,1.421807591,0.00408208
NA,LOC100216325,NM_001141964.1,1.763681496,0.934847569,NA
GB45544,LOC552484,NM_001142436.1,0.651080945,1.017313977,0.34938679
GB40417,LOC552393,NM_001142461.1,0.323533742,1.375018405,0.41579398
GB54319,LOC410052,NM_001142561.1,1.270362002,1.064862266,0.00224318
GB40094,LOC100216489,NM_001142607.1,1.521954236,0.827149041,0.0024127
GB47974,LOC726134,NM_001142609.1,1.228567632,0.976933298,0.00147032
GB41015,LOC552281,NM_001142637.1,0.724021934,0.833308263,0.0056451
GB49545,LOC411045,NM_001142656.2,1.284862678,1.171492442,0.00123552
GB48697,LOC100217360,NM_001142693.1,1.420893415,0.605626702,0.0051877
GB50207,LOC552785,NM_001143878.1,1.177325581,0.829246714,0.00326861
GB50207,LOC552785,NM_001143879.1,1.143103448,0.859770115,0.00326861
GB50207,LOC552785,NM_001143880.1,1.166181137,0.831620975,0.00326861
GB44824,LOC409042,NM_001143921.1,1.23833817,0.974861963,0.0026944
GB43580,LOC551077,NM_001144839.1,0.876692801,0.911760513,0.00147929
GB54827,LOC408613,NM_001145735.1,1.115766074,0.90748974,0.00354361
GB42603,LOC409003,NM_001145736.1,1.244470794,0.973707274,0.00332775
GB42885,LOC411321,NM_001145737.1,1.189662772,0.882472854,0.00319519
GB40867,LOC412285,NM_001145738.1,1.108630081,1.030065744,0.00317533
GB42808,LOC724137,NM_001145739.1,1.127414576,0.897082566,0.00301184
GB52279,LOC724217,NM_001145740.1,1.091441348,0.941472308,0.00327725
GB40141,LOC410451,NM_001159303.1,0.429374212,1.341794411,0.59621848
GB48059,LOC406084,NM_001159355.1,1.079995705,0.905358102,0.0034941
GB42297,LOC408605,NM_001160048.1,0.63988764,1.242134831,0.23230348
GB40866,LOC409418,NM_001160050.1,0.869844196,1.166864165,0.08446973
GB49117,LOC409587,NM_001160052.1,0.852222979,1.178908454,0.18063245
GB40976,LOC408928,NM_001160064.1,0.538784325,0.983281394,0.18092411
GB50609,LOC410620,NM_001160072.1,0.981898895,1.004214779,0.00682197
GB48905,LOC552304,NM_001160270.1,0.769146006,0.933963007,0.00326087
GB43448,LOC411453,NM_001160405.2,1.08146665,1.031744045,0.02036843
GB45433,LOC409356,NM_001161709.2,0.283349884,0.724116371,0.44543651
NA,LOC100302106,NM_001161787.1,0.921654404,1.013819845,NA
NA,LOC100302106,NM_001161788.1,0.906451613,1.133064516,NA
GB45629,LOC727061,NM_001161831.1,1.210379747,1.123924051,0.26461945
GB41686,LOC727327,NM_001162398.1,0.725274725,2.175824176,0
GB56005,LOC411859,NM_001162513.1,1.125621079,1.101671694,0.11205082
GB44544,LOC408855,NM_001162516.1,1.019637087,0.995360013,0.00311608
GB51330,LOC726146,NM_001163463.1,0.880261438,0.880261438,0.01831502
GB44055,LOC725124,NM_001163712.1,0.843955509,1.078387594,0.05431564
GB42685,LOC411899,NM_001163714.1,1.266617647,0.875117647,0.00399468
GB51741,LOC727472,NM_001163715.1,1.041100662,1.264193661,0.00437607
GB47805,LOC412484,NM_001163716.1,0.905687719,1.195507789,0.00179453
NA,LOC100302584,NM_001163717.1,1.605437666,1.177320955,NA
GB40337,LOC551571,NM_001164008.1,1.105616785,0.815252781,0.00339198
NA,LOC726644,NM_001164809.1,1.791310541,1.343482906,NA
GB53406,LOC408984,NM_001164810.1,1.001149425,0.94845735,0.17437212
GB51897,LOC408764,NM_001165904.1,1.092383624,0.999726085,0.00310719
GB42728,LOC409018,NM_001165905.1,1.157995736,0.967920678,0.0213586
GB10293,LOC412427,NM_001165906.1,0.944388809,1.17140535,0.07028086
GB47928,LOC724880,NM_001167709.1,1.205246125,0.706523591,0.00469062
GB50693,LOC726526,NM_001167720.1,1.224322943,0.816215296,0.00151593
GB44988,LOC409314,NM_001167836.1,1.289115518,0.671985749,0.00255169
GB50453,LOC413115,NM_001167893.1,1.119452055,0.953607306,0.00029516
GB54653,LOC409948,NM_001168336.1,0.637884436,1.619245107,0.36948361
GB43092,LOC408325,NM_001168425.1,1.345882353,0.985378151,0.00775579
GB51290,LOC551594,NM_001168700.1,1.053462355,1.074744422,0.00317187
GB42431,LOC412632,NM_001170972.1,0.718612173,0.884445751,0.01174652
GB41413,LOC551975,NM_001170973.1,1.102339181,1.271929825,0.00293431
GB45377,LOC410066,NM_001170974.1,1.185996093,1.15478567,0.00309755
GB44031,LOC406086,NM_001171006.1,0.821984436,1.221234019,0.13781255
GB47348,LOC100328599,NM_001171051.1,0.499305459,0.998610919,0.28951217
GB48005,LOC410435,NM_001171108.1,1.213811897,0.910358923,0.00373856
GB47635,LOC685996,NM_001171169.1,0.756924992,0.993464052,0.41666595
GB41227,LOC408726,NM_001172378.1,1.249989487,0.833326325,0.00255617
GB41946,LOC410065,NM_001172379.1,1.202954473,1.010481758,0.00355733
GB41203,LOC725932,NM_001172389.1,1.211864632,1.06208361,0.00404841
GB18028,LOC100359409,NM_001172403.1,1.055555556,1.241830065,0.55318762
GB47106,LOC726035,NM_001172404.1,0.645118836,1.258768461,0.4477511
GB51206,LOC100359410,NM_001172405.1,0.506666667,1.351111111,0.82758706
GB42662,LOC725372,NM_001172406.1,0.698780071,0.879945274,0.66105355
GB49960,LOC100379261,NM_001172718.1,1.297897468,0.865264978,0.00293183
GB42912,LOC726031,NM_001174139.1,1.243553566,0.893256787,0.00293024
GB42597,LOC409002,NM_001174140.1,0.817933546,0.619646626,0.00336152
GB49021,LOC724464,NM_001174141.1,1.079458709,0.946893605,0.0027231
GB46591,LOC725089,NM_001174142.1,0.981697296,0.678526072,0.00317293
GB40448,LOC724191,NM_001174143.1,0.693916456,1.586094757,0.23388358
GB53113,LOC727145,NM_001174144.1,0.884079823,1.105099778,0.00402407
GB53110,LOC409716,NM_001174145.1,0.829310345,0.94137931,0.00451287
GB48784,LOC408270,NM_001177490.1,1.021159953,1.130569948,0.18819181
GB43560,LOC726057,NM_001177903.1,1.45704918,1.45704918,0
GB47478,LOC494523,NM_001178021.1,1.258991107,1.325253797,0.0100021
GB47478,LOC494523,NM_001178022.1,1.165322581,1.439516129,0.00865632
GB50555,LOC408540,NM_001178023.1,1.020979021,1.225174825,0.25474901
GB50555,LOC408540,NM_001178024.1,0.995,1.175909091,0.25474901
GB40718,LOC410032,NM_001178025.1,0.666372462,1.425296656,0.0964304
GB40718,LOC410032,NM_001178026.1,0.604675325,1.398311688,0.1180348
GB47880,LOC409398,NM_001178027.1,0.855082418,1.045100733,0.09131393
GB50265,LOC409490,NM_001178028.1,1.523942735,0.888966595,0.00255923
GB55004,LOC409097,NM_001178047.1,1.123370843,1.298897537,0.0033983
GB45099,LOC410082,NM_001178048.1,1.082215342,1.540075679,0.1960206
GB44464,LOC409224,NM_001178067.1,0.416262943,1.546119502,0.80539013
GB41427,LOC443552,NM_001178069.1,0.954995624,0.850814284,0.06902821
GB52559,LOC551163,NM_001185079.1,0.576742656,1.345732865,0.30102106
NA,LOC725231,NM_001185086.1,0.576742656,1.345732865,NA
GB48259,LOC408404,NM_001185104.1,1.15013245,1.314437086,0.31337186
GB54774,LOC408399,NM_001185105.1,1.206930388,1.091984637,0.03078598
GB50917,LOC406120,NM_001185144.1,0.445891289,1.672092335,0.2762729
GB44311,LOC406122,NM_001185145.1,1.02220649,0.891154376,0.00469273
GB44311,LOC406122,NM_001185146.1,0.934115764,0.865430782,0.00630008
GB55485,LOC410798,NM_001190421.1,1.332393542,0.938731814,0.03259593
GB48956,LOC726777,NM_001190814.1,0.754716981,1.886792453,0.10453386
GB50627,LOC411983,NM_001190920.1,1.151829988,1.066509248,0.003864
GB53516,LOC412986,NM_001190921.1,1.174171429,0.925104762,0.00361604
GB13213,LOC725259,NM_001191048.2,0.827945707,0.857365098,0.02576485
GB49380,LOC551233,NM_001193290.1,1.03445976,1.124412782,0.00148204
GB42606,LOC411323,NM_001202460.1,1.142694417,0.940671094,0.00279351
GB51376,LOC552518,NM_001204249.1,1.040776866,0.972443031,0.00283806
GB42156,LOC410767,NM_001204751.1,1.33460768,1.034099991,0.00323639
GB52023,LOC408383,NM_001205062.1,1.456616824,0.76141334,0.00305821
GB45490,LOC410681,NM_001205223.1,0.807568438,1.229706485,0.22101428
GB19050,LOC410839,NM_001206466.1,0.874408828,1.311613242,0.07937912
GB14856,LOC726127,NM_001206467.1,0.874408828,1.311613242,0.07937912
GB44114,LOC100578482,NM_001206969.1,0.409384417,1.182666093,0.30532254
GB44096,LOC726775,NM_001206970.1,0.610079887,0.338933271,0.54210514
GB44116,LOC552475,NM_001206973.1,1.589082989,0.961201417,0.00319969
GB47748,LOC413609,NM_001214904.1,0.65620832,1.376436964,0.23924426
GB10936,LOC408606,NM_001220486.1,0.920339641,1.237177878,0.14879715
GB42296,LOC724541,NM_001220487.1,1.490387752,1.111329595,0.01138845
GB44176,LOC412509,NM_001242386.1,0.427833186,1.315190906,0.27263746
GB44213,LOC409697,NM_001242387.1,1.284816081,0.826098175,0.00386396
GB48857,LOC552665,NM_001242431.1,0.674438625,1.605806251,0.46872354
GB45714,LOC411132,NM_001242432.1,1.297053872,0.848448773,0.00213793
GB18750,LOC408324,NM_001242433.1,1.48313153,1.002392344,0.03421127
GB18555,LOC727144,NM_001242434.1,0.762345679,1.03956229,0.36231299
GB42321,LOC727134,NM_001242435.1,0.933968059,1.203381922,0.12303305
GB48643,LOC551853,NM_001242436.1,0.602327273,1.219345455,0.40496897
GB48643,LOC551853,NM_001242437.1,0.61323689,1.241430778,0.37122155
GB52577,LOC726261,NM_001242440.1,0.347879804,1.304549265,0.77546622
GB17746,LOC726239,NM_001242441.1,0.347879804,1.304549265,0.77546622
GB43555,LOC724805,NM_001242456.1,0.504227379,0.956293305,0.31156874
GB43633,LOC552415,NM_001242457.1,0.541406645,1.173047731,0.00641026
GB41649,LOC552378,NM_001242458.1,0.798430333,1.131840802,0.21649244
GB51372,LOC409699,NM_001242465.1,1.028922862,1.008136541,0.00301391
GB53881,LOC727512,NM_001242467.1,0.593774119,1.335991767,0.6358599
GB54338,LOC552646,NM_001242468.1,0.39269279,1.070980337,0.41623666
GB49583,LOC725168,NM_001242469.1,0.84445411,1.192170509,0.34608055
GB45427,LOC100576395,NM_001242470.1,1.064478672,0.869574127,0.02234716
GB55496,LOC408654,NM_001242513.1,1.032266853,1.268828007,0.20958432
GB52345,LOC724675,NM_001242514.1,0.499720826,1.234604395,0.46887495
GB44636,LOC411112,NM_001242515.1,1.106690871,1.002286072,0.11487473
