ID	RNAacc	CDSlen_ucsc	IntronLen_ucsc	UTRlen_ucsc	TotalLen_ucsc	CDSlen_GB	Q_bagel	SW_bagel	RW_bagel	Q/SW	log2Q/SW	P(Q>N)	P(Q>O)	P(N>Q)	P(N>O)	P(O>Q)	P(O>N)	Sig	FlyID	OGID	NoSpecies	AmelBranch	NvitBranch	ID2	CAI	ID3	Nc	ID4	Len_aa	Len_sym	GC	GC3s	GCn3s	GC1	GC2	GC3	T1	T2	T3	C1	C2	C3	A1	A2	A3	G1	G2	G3	RNAacc2	IntronGC	chromosome	start	end	RNAacc3	length	validLength	nrLength	gcContent	cpgContent	cpgOE	gpcContent	gpcOE	nrGCcontent	nrCpGcontent	nrCpGOE	nrGpCContent	nrGpCOE	abs_log2Q/SW
GB10011						366																		GB10011-RA	0.737	GB10011-RA	45.63	GB10011-RA	121	119	0.355	0.261	0.402	0.471	0.322	0.273	0.14	0.298	0.355	0.256	0.198	0.132	0.388	0.38	0.372	0.215	0.124	0.14																				
GB10012	XM_001121655					624																		GB10012-RA	0.833	GB10012-RA	40.12	GB10012-RA	207	201	0.33	0.144	0.419	0.459	0.362	0.169	0.237	0.29	0.391	0.13	0.208	0.087	0.304	0.348	0.44	0.329	0.155	0.082																				
GB10013	XM_394203	1068	557	0	1625	1080													FBgn0032635	4022	4	0.14584	0.15499	GB10013-RA	0.82	GB10013-RA	38.53	GB10013-RA	359	343	0.345	0.175	0.425	0.471	0.354	0.212	0.228	0.206	0.421	0.142	0.178	0.072	0.301	0.44	0.368	0.329	0.175	0.139	XM_394203	0.17	chr1	10369922	10371547	XM_394203	1626	1626	1424	0.283517835	0.017230769	0.912251537	0.025846154	1.368377305	0.314606742	0.018322763	0.789848173	0.029598309	1.275908588	
GB10014	XM_624860	855	198	0	1053	855													FBgn0035211	5214	5	0.26307	0.16902	GB10014-RA	0.865	GB10014-RA	38.52	GB10014-RA	284	269	0.31	0.134	0.391	0.401	0.349	0.18	0.278	0.285	0.472	0.127	0.194	0.067	0.32	0.366	0.349	0.275	0.155	0.113	XM_624860	0.13	chr9	943405	944458	XM_624860	1054	1054	921	0.275142315	0.007597341	0.412734491	0.028490028	1.54775434	0.302931596	0.008714597	0.391944774	0.032679739	1.469792901	
GB10015	XM_001122281					282																		GB10015-RA	0.563	GB10015-RA	57.51	GB10015-RA	93	92	0.548	0.554	0.545	0.613	0.473	0.559	0.118	0.269	0.215	0.247	0.247	0.29	0.269	0.258	0.226	0.366	0.226	0.269																				
GB10016	XM_624695	1647	10976	167	12790	1590																		GB10016-RA	0.588	GB10016-RA	53.07	GB10016-RA	529	517	0.477	0.617	0.409	0.427	0.378	0.626	0.172	0.28	0.189	0.151	0.251	0.295	0.401	0.342	0.185	0.276	0.127	0.331	XM_624695	0.37	chr2	1521969	1534759	XM_624695	12791	12661	12257	0.38164442	0.062564184	1.718206588	0.033414962	0.917678518	0.388267929	0.064603071	1.714188484	0.034465861	0.914522807	
GB10017	XM_001120307					219																		GB10017-RA	0.523	GB10017-RA	39.38	GB10017-RA	72	64	0.523	0.75	0.428	0.5	0.292	0.778	0.083	0.264	0.083	0.181	0.167	0.361	0.417	0.444	0.139	0.319	0.125	0.417																				
GB10018	XM_393500	552	47922	1194	49668	552	1.014235614	0.942755864	1.043008523	1.07582	0.105436715	0.7898	0.3181	0.2102	0.0932	0.6819	0.9068	NS						GB10018-RA	0.626	GB10018-RA	60.91	GB10018-RA	183	173	0.477	0.561	0.439	0.475	0.372	0.585	0.235	0.235	0.213	0.153	0.202	0.295	0.29	0.393	0.202	0.322	0.169	0.29	XM_393500	0.3	chr7	9703245	9752913	XM_393500	49669	49463	46315	0.301861998	0.039263258	1.724123371	0.023008027	1.010325642	0.317111087	0.041850506	1.665148123	0.024547971	0.97671479	0.105436715
GB10019						795																		GB10019-RA	0.652	GB10019-RA	53.12	GB10019-RA	264	253	0.455	0.486	0.44	0.447	0.409	0.508	0.17	0.239	0.269	0.14	0.242	0.235	0.383	0.352	0.223	0.307	0.167	0.273																				
GB10020						516	1.071529151	0.989727013	0.938743836	1.082651213	0.114568539	0.9461	0.9925	0.0539	0.8462	0.0075	0.1538	NS						GB10020-RA	0.927	GB10020-RA	46.49	GB10020-RA	59	56	0.299	0.143	0.372	0.441	0.271	0.186	0.254	0.475	0.441	0.136	0.102	0.119	0.305	0.254	0.373	0.305	0.169	0.068																				0.114568539
GB10021	XM_623617	876	2743	0	3619	876													FBgn0036341	7687	4	0.08543	0.3121	GB10021-RA	0.779	GB10021-RA	41.31	GB10021-RA	291	282	0.336	0.195	0.403	0.485	0.302	0.22	0.124	0.309	0.326	0.199	0.165	0.069	0.392	0.388	0.454	0.285	0.137	0.151	XM_623617	0.21	chr6	11487361	11490980	XM_623617	3620	3620	2728	0.242265193	0.016026527	1.106919318	0.021000276	1.450446003	0.297653959	0.020610968	0.946059346	0.027603975	1.267043767	
GB10022	XM_396992	1260	4772	0	6032	1203														4637	3	0.15791	0.12055	GB10022-RA	0.628	GB10022-RA	61	GB10022-RA	400	386	0.468	0.482	0.462	0.52	0.385	0.5	0.198	0.345	0.258	0.245	0.228	0.235	0.282	0.27	0.242	0.275	0.158	0.265	XM_396992	0.35	chr13	2666026	2672058	XM_396992	6033	5932	5769	0.370869858	0.058367072	1.697408036	0.033906883	0.986066518	0.378055122	0.060048594	1.680557609	0.034883721	0.976277686	
GB10023	XM_001120754					1167																		GB10023-RA	0.882	GB10023-RA	33.42	GB10023-RA	388	376	0.31	0.098	0.411	0.423	0.381	0.126	0.224	0.273	0.394	0.155	0.242	0.034	0.353	0.345	0.479	0.268	0.139	0.093																				
GB10024	XM_623560	1191	2158	294	3643	1191	1.33628525	0.777502196	0.886212554	1.718690001	0.78130935	1	0.9997	0	0.1298	0.0003	0.8702	Q						GB10024-RA	0.57	GB10024-RA	54.41	GB10024-RA	396	376	0.515	0.67	0.443	0.487	0.371	0.687	0.217	0.356	0.159	0.189	0.202	0.361	0.295	0.273	0.154	0.298	0.169	0.326	XM_623560	0.29	chr16	4233583	4237226	XM_623560	3644	3644	3396	0.373216246	0.047488334	1.363748532	0.038978864	1.119377408	0.394581861	0.051002358	1.310327595	0.041863208	1.075529009	0.78130935
GB10025	XM_001122525					552	1.097511108	0.90068452	1.001804371	1.21853	0.28514177	0.9987	0.9388	0.0013	0.0415	0.0612	0.9585	Q						GB10025-RA	0.675	GB10025-RA	52.75	GB10025-RA	183	177	0.459	0.395	0.489	0.628	0.333	0.415	0.197	0.251	0.268	0.377	0.175	0.164	0.175	0.415	0.317	0.251	0.158	0.251																				0.28514177
GB10026	XM_392379	1449	1056	708	3213	1449	1.000963477	1.038759963	0.96027656	0.96361384	-0.05347298	0.2793	0.7611	0.7207	0.9116	0.2389	0.0884	NS						GB10026-RA	0.877	GB10026-RA	36.36	GB10026-RA	482	476	0.376	0.088	0.516	0.539	0.488	0.1	0.216	0.205	0.49	0.203	0.293	0.048	0.245	0.307	0.411	0.336	0.195	0.052	XM_392379	0.11	chr5	10356676	10359889	XM_392379	3214	3214	2226	0.24735532	0.004357298	0.285777805	0.021475257	1.408476327	0.330637916	0.006326254	0.232303758	0.030727519	1.12833254	0.05347298
GB10027	XM_001123274					939																		GB10027-RA	0.753	GB10027-RA	44.21	GB10027-RA	312	290	0.422	0.297	0.478	0.49	0.429	0.346	0.237	0.397	0.442	0.17	0.231	0.147	0.272	0.173	0.212	0.321	0.199	0.199																				
GB10028	XM_392285	549	898	171	1618	549	1.020060684	0.985137558	0.994801757	1.03545	0.05025789	0.7147	0.7128	0.2853	0.4942	0.2872	0.5058	NS		7092	4	0.1525	0.12612	GB10028-RA	0.851	GB10028-RA	44.3	GB10028-RA	182	172	0.385	0.14	0.497	0.473	0.495	0.187	0.236	0.242	0.434	0.181	0.264	0.055	0.291	0.264	0.379	0.291	0.231	0.132	XM_392285	0.22	chr3	9050161	9051779	XM_392285	1619	1619	1323	0.28844966	0.017305315	0.839068023	0.027194067	1.318535464	0.338624339	0.02124431	0.747037349	0.03262519	1.14723593	0.05025789
GB10029	XM_395447	7767	2670	339	10776	7767	0.929201073	1.00502388	1.065775047	0.924556214	-0.113167056	0.1078	0.0071	0.8922	0.0804	0.9929	0.9196	NS	FBgn0005632	49	4	0.062888	0.097176	GB10029-RA	0.819	GB10029-RA	41.14	GB10029-RA	2588	2483	0.349	0.168	0.434	0.495	0.349	0.201	0.218	0.298	0.394	0.201	0.191	0.075	0.287	0.353	0.405	0.295	0.158	0.126	XM_395447	0.13	chr5	6033843	6044619	XM_395447	10777	10777	8995	0.294144938	0.016889384	0.789799271	0.028489235	1.332243825	0.33963313	0.020062416	0.704067089	0.033883192	1.189091084	0.113167056
GB10030	XM_392716	4422	9154	603	14179	4422	1.064938827	0.969428056	0.965633117	1.098522805	0.13556482	0.7939	0.8246	0.2061	0.5342	0.1754	0.4658	NS		310	4	0.1742	0.1471	GB10030-RA	0.694	GB10030-RA	56.41	GB10030-RA	1473	1414	0.439	0.385	0.465	0.489	0.418	0.41	0.213	0.309	0.321	0.192	0.236	0.17	0.297	0.273	0.269	0.297	0.183	0.24	XM_392716	0.31	chr2	976814	990993	XM_392716	14180	13914	12950	0.342532701	0.048375503	1.655107682	0.030549166	1.045201731	0.358146718	0.051906862	1.624028643	0.032876924	1.028632151	0.13556482
GB10031	XM_001122459					621																		GB10031-RA	0.73	GB10031-RA	44.67	GB10031-RA	206	199	0.403	0.281	0.461	0.558	0.345	0.306	0.189	0.32	0.413	0.248	0.228	0.121	0.252	0.335	0.282	0.311	0.117	0.184																				
GB10032	XM_394947	2220	798	239	3257	2220														982	4	0.030974	0.031714	GB10032-RA	0.843	GB10032-RA	38.16	GB10032-RA	739	721	0.33	0.111	0.435	0.493	0.364	0.133	0.171	0.303	0.441	0.206	0.215	0.045	0.337	0.333	0.426	0.287	0.149	0.088	XM_394947	0.14	chrUn	23603337	23606594	XM_394947	3258	3258	2836	0.275322284	0.015658582	0.832418569	0.020571078	1.093569493	0.309238364	0.018027572	0.759329057	0.02368328	0.997549937	
GB10033						2202													FBgn0035308	2036	4	0.16242	0.26674	GB10033-RA	0.626	GB10033-RA	56.14	GB10033-RA	733	712	0.467	0.52	0.441	0.506	0.36	0.533	0.207	0.297	0.217	0.184	0.172	0.228	0.286	0.342	0.25	0.322	0.188	0.306																				
GB10034	XM_394532	1545	25025	0	26570	1665													FBgn0034002	4640	5	0.17016	0.25149	GB10034-RA	0.806	GB10034-RA	43.77	GB10034-RA	554	546	0.341	0.185	0.418	0.475	0.352	0.197	0.195	0.2	0.415	0.168	0.182	0.079	0.33	0.448	0.388	0.307	0.17	0.117	XM_394532	0.33	chr5	933496	960066	XM_394532	26571	26181	22977	0.332454834	0.040643264	1.471291985	0.030558845	1.106234575	0.361666014	0.045855148	1.403053918	0.034162304	1.045281844	
GB10035	XM_623698	924	239	380	1543	924	1.015891231	0.935512037	1.048596732	1.08592	0.118917823	0.94	0.3679	0.06	0.0268	0.6321	0.9732	NS		4017	4	0.005026	0.059316	GB10035-RA	0.787	GB10035-RA	42.61	GB10035-RA	307	298	0.379	0.215	0.457	0.482	0.417	0.238	0.235	0.313	0.362	0.231	0.264	0.062	0.283	0.27	0.401	0.251	0.153	0.176	XM_623698	0.15	chrUn	61369926	61371469	XM_623698	1544	1544	1470	0.31865285	0.024627349	0.97041363	0.031756319	1.251322839	0.331972789	0.025885559	0.939928812	0.033378747	1.212013468	0.118917823
GB10036	NM_001011638	315	336	269	920	315																		GB10036-RA	0.696	GB10036-RA	61	GB10036-RA	104	100	0.436	0.35	0.476	0.51	0.423	0.375	0.221	0.308	0.317	0.212	0.183	0.183	0.269	0.269	0.308	0.298	0.24	0.192																				
GB10037	XM_001119963					2607																		GB10037-RA	0.878	GB10037-RA	34.46	GB10037-RA	868	843	0.28	0.109	0.362	0.4	0.306	0.135	0.195	0.268	0.407	0.127	0.173	0.036	0.406	0.425	0.459	0.273	0.134	0.099																				
GB10038						1152	0.948182427	1.109337154	0.94248042	0.854728811	-0.226461341							NS						GB10038-RA	0.788	GB10038-RA	44.62	GB10038-RA	383	367	0.336	0.259	0.372	0.376	0.342	0.29	0.256	0.261	0.321	0.146	0.198	0.144	0.368	0.397	0.389	0.23	0.144	0.146																				0.226461341
GB10039	XM_397185	402	1125	0	1527	402														8250	4	0.10856	0.22218	GB10039-RA	0.858	GB10039-RA	32.98	GB10039-RA	133	130	0.331	0.1	0.442	0.481	0.391	0.12	0.158	0.286	0.346	0.135	0.241	0.03	0.361	0.323	0.534	0.346	0.15	0.09	XM_397185	0.13	chrUn	28588070	28589597	XM_397185	1528	1528	787	0.185209424	0.007858546	0.930615128	0.013097577	1.551025213	0.285895807	0.014120668	0.699672298	0.023106547	1.144918306	
GB10040	XM_394205	2598	4009	0	6607	3213	0.956821821	1.004997799	1.03818038	0.952063598	-0.070870145	0.273	0.1476	0.727	0.3265	0.8524	0.6735	NS						GB10040-RA	0.7	GB10040-RA	57.7	GB10040-RA	1070	1017	0.387	0.382	0.389	0.418	0.33	0.413	0.233	0.333	0.284	0.15	0.201	0.174	0.35	0.337	0.303	0.267	0.129	0.239	XM_394205	0.23	chrUn	62268692	62275299	XM_394205	6608	6608	5980	0.302512107	0.03238989	1.419222349	0.026032995	1.140683384	0.329598662	0.035863918	1.323103523	0.028825205	1.063429	0.070870145
GB10041	XM_001119847					1806																		GB10041-RA	0.874	GB10041-RA	34.85	GB10041-RA	601	575	0.323	0.082	0.436	0.469	0.378	0.121	0.231	0.276	0.426	0.176	0.198	0.047	0.3	0.346	0.453	0.293	0.18	0.075																				
GB10042						2073	1.159581282	0.846465302	0.993953416	1.36991	0.454081115	0.9997	0.9787	0.0003	0.0393	0.0213	0.9607	Q	FBgn0039588	3193	5	0.47819	0.30847	GB10042-RA	0.883	GB10042-RA	35.84	GB10042-RA	690	672	0.28	0.097	0.368	0.451	0.268	0.12	0.168	0.333	0.399	0.126	0.151	0.046	0.381	0.399	0.481	0.325	0.117	0.074																				0.454081115
GB10043	XM_623550	1824	1577	347	3748	1824	0.928398791	1.047326676	1.024274534	0.886446237	-0.17389496	0.0122	0.0258	0.9878	0.6809	0.9742	0.3191	W		1954	4	0.060472	0.10815	GB10043-RA	0.758	GB10043-RA	46.51	GB10043-RA	607	588	0.393	0.233	0.469	0.494	0.427	0.257	0.214	0.278	0.386	0.222	0.27	0.13	0.292	0.295	0.357	0.272	0.157	0.127	XM_623550	0.16	chr1	11225833	11229581	XM_623550	3749	3749	2846	0.288343558	0.019743863	0.949926127	0.02588047	1.245173437	0.358046381	0.026102293	0.814442615	0.032804233	1.023556259	0.17389496
GB10044						1839																		GB10044-RA	0.612	GB10044-RA	54.7	GB10044-RA	612	590	0.449	0.578	0.388	0.408	0.346	0.593	0.247	0.319	0.219	0.162	0.19	0.306	0.345	0.335	0.188	0.247	0.157	0.288																				
GB10045	XM_396091	966	1038	77	2081	954													FBgn0025109	5166	4	0.25737	0.22288	GB10045-RA	0.84	GB10045-RA	39.34	GB10045-RA	317	304	0.327	0.132	0.419	0.42	0.394	0.167	0.287	0.315	0.454	0.183	0.224	0.057	0.293	0.29	0.379	0.237	0.17	0.11	XM_396091	0.19	chrUn	10459530	10461611	XM_396091	2082	2082	1729	0.258405379	0.014896684	0.896386786	0.022585296	1.35903803	0.301330249	0.018002323	0.796649823	0.027293844	1.207823925	
GB10046	XM_393764	558	368	10	936	558														7830	4	0.16256	0.26842	GB10046-RA	0.768	GB10046-RA	56.41	GB10046-RA	185	172	0.373	0.285	0.413	0.416	0.368	0.335	0.27	0.351	0.378	0.168	0.195	0.141	0.314	0.281	0.286	0.249	0.173	0.195	XM_393764	0.3	chr11	137990	138926	XM_393764	937	937	937	0.341515475	0.042735043	1.467059344	0.030982906	1.063618025	0.341515475	0.042735043	1.467059344	0.030982906	1.063618025	
GB10047						462																		GB10047-RA	0.867	GB10047-RA	33.91	GB10047-RA	153	150	0.246	0.1	0.317	0.359	0.261	0.118	0.19	0.229	0.359	0.15	0.118	0.052	0.451	0.51	0.523	0.209	0.144	0.065																				
GB10048						753																		GB10048-RA	0.864	GB10048-RA	32.34	GB10048-RA	250	245	0.227	0.106	0.285	0.38	0.176	0.124	0.224	0.328	0.364	0.14	0.108	0.04	0.396	0.496	0.512	0.24	0.068	0.084																				
GB10049	XM_393459	1878	17564	446	19888	1890	0.626626618	1.249067371	1.124306011	0.501675596	-0.995173334	0	0.0002	1	0.8319	0.9998	0.1681	W						GB10049-RA	0.696	GB10049-RA	55.62	GB10049-RA	629	610	0.468	0.402	0.5	0.475	0.509	0.42	0.223	0.2	0.294	0.205	0.262	0.207	0.302	0.291	0.286	0.27	0.246	0.213	XM_393459	0.33	chr1	14008806	14028694	XM_393459	19889	19789	19128	0.347263631	0.048316992	1.602758511	0.029616901	0.982444025	0.355029276	0.049971221	1.585811727	0.030662969	0.973074002	0.995173334
GB10050	XM_392150	1755	1636	0	3391	1809	0.911538251	1.048378373	1.040083375	0.86947449	-0.201784395	0.0486	0.0735	0.9514	0.5716	0.9265	0.4284	NS		3321	4	0.15638	0.2797	GB10050-RA	0.797	GB10050-RA	43.45	GB10050-RA	602	586	0.331	0.189	0.399	0.47	0.312	0.211	0.201	0.266	0.354	0.166	0.189	0.093	0.329	0.422	0.435	0.304	0.123	0.118	XM_392150	0.15	chr1	6556015	6559406	XM_392150	3392	3392	2500	0.246757075	0.021527573	1.430389009	0.021527573	1.430389009	0.3124	0.029352634	1.222700351	0.028548452	1.189201711	0.201784395
GB10051	XM_392759	1257	3210	220	4687	1197	1.001327627	0.978594868	1.020077505	1.02323	0.033130469	0.5183	0.2723	0.4817	0.2457	0.7277	0.7543	NS						GB10051-RA	0.726	GB10051-RA	56.17	GB10051-RA	398	381	0.42	0.375	0.44	0.445	0.412	0.402	0.214	0.276	0.317	0.146	0.236	0.181	0.342	0.312	0.281	0.299	0.176	0.221	XM_392759	0.37	chr2	2797610	2802297	XM_392759	4688	3619	3427	0.335175463	0.047000276	1.680233071	0.030688416	1.097093358	0.349576889	0.04940076	1.622219739	0.032446653	1.065481603	0.033130469
GB10052	XM_394096	1473	949	466	2888	1473													FBgn0036133	2412	4	0.11789	0.17949	GB10052-RA	0.858	GB10052-RA	35.57	GB10052-RA	490	464	0.295	0.129	0.371	0.369	0.339	0.176	0.298	0.386	0.42	0.135	0.2	0.071	0.333	0.276	0.404	0.235	0.139	0.104	XM_394096	0.12	chr15	3790479	3793367	XM_394096	2889	2889	2106	0.219453098	0.005193906	0.43311458	0.01800554	1.501463877	0.274928775	0.007159905	0.382103604	0.024821002	1.324625828	
GB10053	XM_396707	1728	1848	0	3576	1728													FBgn0003124	1778	5	0.1109	0.17266	GB10053-RA	0.82	GB10053-RA	42.92	GB10053-RA	575	542	0.332	0.177	0.402	0.424	0.346	0.224	0.212	0.299	0.367	0.167	0.188	0.094	0.363	0.355	0.409	0.257	0.158	0.13	XM_396707	0.16	chrUn	19003677	19007253	XM_396707	3577	3577	2470	0.242381884	0.015939597	1.087468492	0.018176734	1.240095649	0.312145749	0.021544715	0.890047091	0.02601626	1.074773846	
GB10054	XM_396004	543	159	172	874	543																		GB10054-RA	0.856	GB10054-RA	36.58	GB10054-RA	180	176	0.291	0.108	0.379	0.439	0.306	0.128	0.194	0.283	0.372	0.178	0.178	0.044	0.367	0.411	0.5	0.261	0.128	0.083	XM_396004	0.13	chr5	13245548	13246422	XM_396004	875	875	599	0.230857143	0.011441648	0.869048754	0.02173913	1.651192633	0.302170284	0.016806723	0.750593591	0.031932773	1.426127822	
GB10055	XM_001122104					666	1.021186711	1.02302183	0.955791459	0.998206178	-0.002590262	0.6421	0.8492	0.3579	0.7742	0.1508	0.2258	NS						GB10055-RA	0.738	GB10055-RA	44.75	GB10055-RA	221	212	0.371	0.34	0.386	0.416	0.33	0.367	0.244	0.303	0.385	0.167	0.113	0.163	0.339	0.367	0.249	0.249	0.217	0.204																				0.002590262
GB10056	XM_394666	939	384	0	1323	1020													FBgn0052409	7038	4	0.39156	0.47491	GB10056-RA	0.865	GB10056-RA	37.78	GB10056-RA	339	330	0.301	0.106	0.394	0.434	0.339	0.13	0.136	0.23	0.339	0.156	0.209	0.035	0.431	0.431	0.531	0.277	0.13	0.094	XM_394666	0.15	chr7	412678	414001	XM_394666	1324	1324	1145	0.258308157	0.007558579	0.460757644	0.020408163	1.244045638	0.289082969	0.008764242	0.42603412	0.023663453	1.150292125	
GB10057	XM_624919	780	258	0	1038	795																		GB10057-RA	0.52	GB10057-RA	48.61	GB10057-RA	264	259	0.583	0.745	0.505	0.583	0.417	0.75	0.167	0.303	0.14	0.205	0.239	0.341	0.25	0.28	0.11	0.379	0.178	0.409	XM_624919	0.46	chr15	4945153	4946191	XM_624919	1039	1039	1039	0.548604427	0.082851638	1.101628088	0.053949904	0.71733922	0.548604427	0.082851638	1.101628088	0.053949904	0.71733922	
GB10058	XM_001122500					3159														425	4	0.081291	0.097201	GB10058-RA	0.876	GB10058-RA	35.22	GB10058-RA	1052	1014	0.348	0.089	0.47	0.522	0.399	0.122	0.189	0.237	0.413	0.188	0.202	0.045	0.289	0.364	0.465	0.334	0.197	0.077																				
GB10059	XM_623885	798	13978	0	14776	321																		GB10059-RA	0.641	GB10059-RA	61	GB10059-RA	106	104	0.569	0.394	0.654	0.698	0.604	0.406	0.104	0.142	0.283	0.264	0.292	0.17	0.198	0.255	0.311	0.434	0.311	0.236	XM_623885	0.31	chrUn	7833659	7848435	XM_623885	14777	14777	13500	0.326994654	0.039794261	1.495312713	0.026123443	0.981616849	0.341481481	0.042535818	1.463116447	0.027911811	0.960090374	
GB10060	XM_625020	528	634	190	1352	528																		GB10060-RA	0.874	GB10060-RA	36.03	GB10060-RA	175	171	0.267	0.105	0.345	0.36	0.314	0.126	0.24	0.291	0.434	0.074	0.16	0.034	0.4	0.394	0.44	0.286	0.154	0.091	XM_625020	0.13	chrUn	81851565	81852917	XM_625020	1353	1353	785	0.193643755	0.00739645	0.87467748	0.009615385	1.137080725	0.267515924	0.011553273	0.726471012	0.015404365	0.968628016	
GB10061						1914																		GB10061-RA	0.528	GB10061-RA	46.31	GB10061-RA	637	629	0.598	0.766	0.515	0.512	0.512	0.769	0.16	0.176	0.107	0.179	0.328	0.359	0.328	0.312	0.124	0.333	0.184	0.41																				
