Gene	gamma
GB40779	-0.080149945
GB40778	-0.393752919
GB40801	-0.536741691
GB40777	-0.000860484
GB40776	0.010956837
GB40802	-0.305810172
GB40803	-0.090476065
GB40775	0.034224415
GB40804	0.183281467
GB40774	-0.197353253
GB40805	-0.12929466
GB40806	1.211665463
GB40807	-0.019642618
GB40773	-0.636160467
GB40808	-0.218510277
GB40771	4.379436
GB40770	0.712449285
GB40769	1.496481722
GB40768	0.248018838
GB40809	-0.280734411
GB40767	0.252588998
GB40766	-0.475384334
GB40810	0.310201971
GB40765	0.127494203
GB40764	-0.577222975
GB40812	-0.387917339
GB40814	0.159435587
GB40763	0.582976327
GB40815	-0.203673126
GB40816	-0.06434225
GB40760	0.024427249
GB40759	0.042571444
GB40758	0.988983102
GB40817	-0.288164769
GB40818	-0.350353599
GB40757	-0.582772317
GB40819	-0.130145292
GB40756	-0.612035942
GB40755	-0.625726914
GB40754	2.0284455
GB40821	-0.413418862
GB40822	-0.254320503
GB40752	-0.457417256
GB40751	-0.358535889
GB40750	-0.506849718
GB40749	0.2156162
GB40823	-0.619226714
GB40748	0.084579563
GB40824	-0.239238554
GB40747	0.15795376
GB40746	0.042042951
GB40827	0.128377995
GB40745	-0.382931413
GB40828	0.066945901
GB40829	-0.39441474
GB40830	0.277964393
GB40744	0.645541743
GB40831	5.388329349
GB40743	0.005084369
GB40741	-0.499851363
GB40740	1.104753647
GB40737	-0.500086262
GB40735	0.565718476
GB40734	1.689250465
GB40833	0.532238997
GB40733	-0.583199647
GB40732	0.749919045
GB40731	-0.156545484
GB40730	1.028231563
GB40834	0.104837006
GB40836	0.770430862
GB40837	0.804493558
GB40838	0.056009172
GB40839	0.671241781
GB40841	-0.826334647
GB40842	-0.328899942
GB40728	0.9785939
GB40843	-0.2011391
GB40727	-0.203082228
GB40845	-0.095836818
GB40848	0.98553868
GB40849	-0.350240484
GB40850	-0.072471943
GB40726	0.054610202
GB40853	0.293023411
GB40854	-0.326466802
GB40855	0.488032049
GB40724	0.204029266
GB40856	0.259009919
GB40857	-0.178233583
GB40723	-0.01745891
GB40722	-0.262645088
GB40858	-0.50662974
GB40720	-0.240175773
GB40859	-0.001107454
GB40860	0.353248688
GB40718	1.085655204
GB40861	-0.286978083
GB40717	-0.49416758
GB40862	-0.229919509
GB40716	0.803736942
GB40864	-0.25833221
GB40715	0.228649584
GB40865	-0.137643812
GB40713	0.522878062
GB40712	-0.576971288
GB40866	-0.006051464
GB40711	0.048059771
GB40867	-0.152371156
GB40948	-0.121855492
GB40946	-0.054588736
GB40945	-0.103522528
GB40949	0.059780842
GB40944	-0.090470878
GB40950	-0.530775053
GB40952	-0.710142671
GB40942	-0.318469985
GB40953	-0.072030294
GB40941	0.352198677
GB40939	0.094551211
GB40955	-0.308451749
GB40958	-0.366674137
GB40959	-0.311608837
GB40960	0.413394559
GB40961	0.021315183
GB40963	-0.123886704
GB40964	-0.739821191
GB40938	-1.113112654
GB40937	0.041244742
GB54847	-0.195598357
GB54848	-0.145770534
GB54846	0.093609219
GB54845	0.053589457
GB54850	0.989750788
GB54851	1.371070063
GB54852	2.207598307
GB54853	0.530248143
GB54844	0.378038699
GB54854	0.021096048
GB54855	0.053615128
GB54856	-0.180734744
GB54843	0.219795622
GB54842	0.101356215
GB54841	-0.074815432
GB54857	-0.219518437
GB54858	-0.297599236
GB54860	0.413296134
GB54837	-0.206803209
GB54836	-0.511335806
GB54861	0.372312517
GB54862	0.589698614
GB54835	0.522806345
GB54831	-0.092503458
GB54830	-0.557309472
GB54865	-0.67197436
GB54829	0.559260079
GB54828	0.437471038
GB54866	1.044795534
GB54867	-0.068292667
GB54868	0.53483802
GB54827	-0.576395951
GB53215	-0.161957517
GB53214	-0.024022305
GB53213	0.492556807
GB53218	-0.315844943
GB53219	0.300162954
GB53220	-0.372916559
GB53209	0.81066033
GB53208	-0.067795625
GB53221	0.009003679
GB53222	-0.160577987
GB53207	0.393878343
GB53223	0.654066209
GB53206	0.465177164
GB53224	-0.596191161
GB53225	1.870248187
GB53205	-0.512508381
GB53203	0.502833374
GB53226	0.425780751
GB53201	-0.167907345
GB53228	-0.467086876
GB53200	0.234567906
GB53229	0.805948545
GB53230	1.174263258
GB53199	0.48489523
GB53231	-1.03353446
GB53233	-0.240399548
GB53198	0.607467175
GB53234	-0.389491102
GB53235	-0.215163844
GB53197	2.324274503
GB53236	-0.479916313
GB53237	-0.151189515
GB53196	-0.009534188
GB53195	-0.356855111
GB53238	-0.595577011
GB53194	-0.376970586
GB53239	0.493845519
GB53193	-0.01725327
GB53240	-1.077531639
GB53192	-0.784476983
GB53242	-0.535356702
GB53191	0.069655648
GB53243	-0.054981375
GB53190	-0.88456038
GB53245	-0.028872727
GB53189	-0.938373376
GB53246	-0.401205575
GB53188	-0.188498533
GB53247	-0.198145126
GB53187	0.228825849
GB53249	0.347359242
GB53186	0.206946515
GB53250	-0.395892692
GB53185	0.027011664
GB53184	0.053492914
GB53251	-0.381717317
GB53252	1.06890408
GB53253	0.717652529
GB53183	0.473330106
GB53181	-0.321118675
GB53254	-1.09050984
GB53255	-0.275999963
GB53256	0.602243029
GB53180	-0.075480573
GB53179	0.724531484
GB53257	0.343699332
GB53258	0.017064868
GB53177	-0.403219609
GB52267	2.022545805
GB52268	0.046903686
GB52269	0.2313377
GB52266	0.677977569
GB49723	-0.348684086
GB49722	0.536888442
GB49721	-0.217675474
GB48024	0.198359498
GB48026	-0.741222659
GB48028	0.659149503
GB48022	2.374260251
GB48029	-0.228889356
GB48030	-0.561317426
GB48031	0.137760303
GB48032	0.000948448
GB48020	1.302473817
GB48034	-0.017405819
GB48035	0.741101349
GB48036	0.16153305
GB48037	0.966451784
GB48018	-0.314805667
GB48038	0.976771833
GB48039	-0.682948658
GB48017	-0.072332295
GB50349	0.393263945
GB50350	-0.097977378
GB50348	-0.4461155
GB50347	-0.86224629
GB50351	0.212505974
GB50352	0.402403401
GB50353	-0.487310857
GB50354	-0.132287325
GB50346	-0.042749382
GB50355	0.01727904
GB50345	-0.313752639
GB50344	-0.495745416
GB50356	-0.196345765
GB50357	-0.197877238
GB50343	-0.213729239
GB50359	-0.799909691
GB50361	0.550873248
GB50342	0.114765898
GB50363	1.556709055
GB50341	-0.012956929
GB50364	0.322591775
GB50340	-0.359927998
GB50365	-0.303565223
GB50366	-0.276639079
GB50339	0.403858408
GB50338	-0.243513744
GB50367	0.131760051
GB50337	-0.055340761
GB50368	-0.6258286
GB50336	-0.292992372
GB50369	-0.587657297
GB50335	-0.430953595
GB50370	-0.89076431
GB50371	-0.381550686
GB50334	0.966379654
GB50333	0.100432742
GB50372	-0.144106613
GB50373	0.235266409
GB50332	-0.404089061
GB50331	0.367761384
GB50374	0.85533262
GB50330	-0.57296122
GB50375	0.088912587
GB47709	0.246643171
GB47707	0.961111539
GB47710	-0.688048702
GB47711	0.556488332
GB47705	0.85467184
GB47715	-0.501600974
GB47703	-0.136314077
GB47699	-0.52728083
GB47698	-0.157506309
GB47718	-0.625637166
GB47719	0.392841129
GB47720	0.624366566
GB47696	0.872392627
GB47721	0.632788657
GB47722	1.073676994
GB47695	0.054629705
GB47723	0.103710576
GB47694	0.056990829
GB47693	0.040745273
GB47692	0.62860642
GB47691	0.299962852
GB47689	-0.842077543
GB47724	0.277512965
GB47725	-1.028177509
GB47688	0.438935178
GB47687	-0.189765678
GB47726	1.155335952
GB47686	-0.431400746
GB47727	0.521148607
GB47685	-0.296935306
GB47684	-0.25304297
GB47728	-0.188272786
GB47729	0.403278756
GB47732	0.273150223
GB47733	0.366902615
GB47683	-0.715748159
GB47734	-0.414710207
GB47735	0.027708338
GB47682	-0.251774131
GB47736	-0.24983277
GB47680	-0.213947114
GB47679	1.386935201
GB47678	0.070482307
GB47677	0.090047319
GB47676	-0.687011221
GB47737	-0.030560442
GB47675	-0.244423071
GB47738	-0.216539414
GB47673	0.294759026
GB47672	0.224127738
GB47671	-0.288455411
GB47740	1.163753893
GB47670	-0.13654088
GB47669	0.595223033
GB47741	-0.651178943
GB47742	0.323156219
GB47743	-0.239882203
GB47668	0.794096095
GB47744	-0.040765193
GB47667	-0.280270198
GB47745	-0.488586951
GB47746	-0.900376593
GB47747	-0.005498077
GB47748	-0.262287348
GB47666	-0.847372143
GB47665	-0.409454066
GB47664	0.567413489
GB47663	-0.530043758
GB47749	0.064051558
GB47662	0.920610185
GB47751	-0.315931022
GB47661	0.428858323
GB47752	0.649719302
GB47660	-0.482674019
GB47753	-0.011697433
GB47659	-0.485210349
GB47658	0.190635861
GB47657	-0.13924708
GB47656	-0.558491695
GB54963	0.533519456
GB54962	0.273563058
GB54964	-0.034903972
GB54966	-0.230925011
GB54967	0.155193363
GB54961	0.465213212
GB54960	0.599355083
GB54968	-0.187262971
GB54959	-0.727089013
GB54969	-0.156427694
GB54970	-0.478969143
GB54958	-0.197519603
GB54971	-0.496331671
GB54972	-0.174896671
GB54973	-0.476134526
GB54974	0.009377998
GB54957	-0.164094989
GB54956	-0.223857212
GB54975	-0.681340198
GB54955	-0.21491756
GB54976	-0.717527532
GB54954	-0.053108195
GB54977	0.205952548
GB54953	-0.05134601
GB54978	-0.092555162
GB54952	-0.453893277
GB54979	0.056263883
GB54951	-0.423973867
GB54980	0.458507511
GB54981	-0.469073724
GB54982	-0.010036139
GB54950	-0.319073747
GB54949	0.101830298
GB54983	-0.409059174
GB54984	-0.464356076
GB54985	-0.312514685
GB54986	-0.32704971
GB54945	-0.427371733
GB54944	-0.456526559
GB54987	-0.096200754
GB54943	-0.186354098
GB54988	0.719182518
GB54942	1.956867251
GB54941	0.497051672
GB54989	-1.012775238
GB54940	-0.204159808
GB54990	-0.346050986
GB54939	-0.572706578
GB54992	-0.119586447
GB54993	1.087388436
GB54938	-0.241838089
GB54994	0.002729158
GB54937	-0.287210729
GB54995	-0.675812942
GB54936	0.579023193
GB54935	1.210140608
GB54934	-0.0294031
GB54932	1.376458958
GB54996	-0.013585199
GB54998	0.069850101
GB54999	1.299170476
GB55000	-0.473641237
GB54929	-0.158442605
GB55001	-0.06953133
GB54928	0.010958513
GB55002	-0.580569844
GB54927	0.592559976
GB54926	0.360658131
GB54925	0.47665886
GB54924	-0.330824567
GB55003	-0.059107366
GB55004	0.390586652
GB55005	-0.3162984
GB55006	0.432196471
GB54923	0.414657187
GB54922	-0.689812394
GB55007	0.218247966
GB54920	-0.309359611
GB55008	-0.573027421
GB55009	0.090612266
GB55010	-0.644194296
GB54919	-0.934412542
GB54918	0.240284984
GB55011	-0.279006955
GB54917	-0.242236351
GB54916	-0.034291465
GB55012	-0.637990988
GB54914	-0.209875516
GB54912	-0.279278254
GB55013	-0.779221455
GB54910	-0.543364725
GB55014	-0.477913476
GB55015	-0.314056934
GB55016	0.278021277
GB54909	0.022198876
GB55017	0.537070963
GB55018	0.187584523
GB54908	-0.136579158
GB55020	0.181855804
GB54906	1.04151123
GB49269	0.437880191
GB49268	1.374111962
GB49272	1.449318921
GB49273	0.162975348
GB49275	1.529312236
GB49267	0.413599411
GB49276	-0.365750989
GB49277	0.753630624
GB49278	0.683022539
GB49279	-0.06219956
GB49280	0.053300947
GB49281	-0.190344477
GB49282	1.173413705
GB49283	0.290657746
GB49265	0.541449066
GB49284	0.995201049
GB49285	-0.430733243
GB49264	-0.236252786
GB49262	1.511659226
GB49261	-0.068865565
GB49289	1.863211967
GB49260	-0.060978139
GB49290	0.256512264
GB49259	1.103202718
GB55864	1.099783109
GB55866	0.033664325
GB55867	0.239445498
GB51593	1.325597473
GB51594	0.40178313
GB51592	-0.16699793
GB51596	0.341669239
GB51597	-0.254618039
GB51591	-0.761060987
GB51590	-0.03381256
GB51598	-0.447929969
GB51589	-0.331322847
GB51599	-0.073738423
GB51588	-0.388959815
GB51600	0.546999361
GB51587	-0.346949209
GB51601	-0.145696956
GB51586	-0.245404684
GB51602	0.982776827
GB51585	-0.237454936
GB51603	0.387574708
GB51584	0.392764704
GB51583	0.928737106
GB51604	0.439438493
GB51582	0.468088313
GB51581	-0.446789992
GB51580	0.07391756
GB51605	0.19153737
GB51606	-0.51688181
GB51607	-0.422543014
GB51608	-0.59804963
GB51578	-1.155834162
GB51609	0.168822045
GB51576	-0.560980644
GB51574	0.349378321
GB51611	-0.442430823
GB51612	-0.559827108
GB51573	-0.962175464
GB51613	-0.302444902
GB51572	-0.116171417
GB51571	0.388870408
GB51614	0.337849627
GB51570	-0.40057714
GB51569	-0.244925378
GB51568	0.016183908
GB51615	0.195914244
GB51567	0.318963755
GB51566	-0.408339086
GB51565	0.321202982
GB51617	-0.497215406
GB51564	0.127374563
GB51619	0.968135487
GB51562	1.123812583
GB51561	-0.697230433
GB51560	-0.370838918
GB51620	0.657942759
GB51621	0.133679478
GB51622	-0.026262717
GB51558	0.917870078
GB51556	-0.315924091
GB51555	-0.157254522
GB51553	-0.799550487
GB51623	0.08803089
GB51552	-0.020515943
GB51624	0.410327494
GB51551	0.03148942
GB51550	0.351881503
GB51549	0.101689902
GB51548	0.553281697
GB51547	-0.931604323
GB51546	0.254112458
GB51545	0.725803281
GB51625	-0.437091548
GB51544	0.205763551
GB51626	-0.468385203
GB51543	-0.161680695
GB51542	-0.397017619
GB51627	-0.469665398
GB51541	-0.227779276
GB51628	-0.643875145
GB51540	0.037060923
GB51629	-0.336394892
GB51539	0.486817804
GB51630	1.202241873
GB51538	-0.007555905
GB51631	0.143681671
GB51537	0.936396615
GB51632	-0.028261631
GB51633	-0.814609319
GB51536	-0.418563736
GB51634	-0.114333726
GB51535	-0.415418661
GB51635	-0.351859272
GB51534	-0.333105897
GB51533	-0.333135349
GB51636	-0.337784215
GB51637	0.290443236
GB51638	-0.356698448
GB48940	0.321944491
GB48938	1.139326722
GB48937	0.387750011
GB48936	1.921886964
GB48935	-0.509572784
GB48934	-0.124959966
GB48942	-0.242396336
GB48933	-0.477122272
GB48943	-0.332035623
GB48944	-0.159896833
GB48945	0.330018797
GB48932	-0.276619629
GB48930	-0.209473953
GB48929	-0.14998483
GB48928	-0.485363286
GB48946	-0.159248591
GB48947	-0.109993862
GB48948	-0.034614476
GB48927	-0.285081401
GB48949	-0.587202639
GB48926	-0.425759832
GB48951	-0.434406494
GB48925	-0.569234089
GB48953	-0.077363497
GB48924	-0.441131212
GB48955	-0.360829686
GB48923	-0.308858299
GB48956	0.30327575
GB48922	0.676659152
GB45510	0.315537241
GB45509	1.22335522
GB45511	-0.082105262
GB45512	3.789060073
GB45508	-0.487404286
GB45513	-0.012249541
GB45507	0.017667851
GB45514	1.066644515
GB45515	-0.206176737
GB45505	-0.271313428
GB45504	-0.199177436
GB45516	0.364015057
GB45517	-0.527294761
GB45518	-0.091666618
GB45503	1.141200496
GB45502	0.003953798
GB45501	-0.015645663
GB45500	0.359444923
GB45499	0.350144903
GB45498	1.130265834
GB45497	-0.745472954
GB45495	-0.055311842
GB45521	-0.361049129
GB45493	0.150487956
GB45492	-0.441800201
GB45491	-0.468211864
GB45523	-0.128949853
GB45490	-0.556650499
GB45525	-0.08839602
GB45526	0.119105816
GB45487	-0.325059125
GB45527	-0.621730166
GB45528	-0.177377319
GB45529	-0.48483377
GB45486	-0.116811021
GB45530	-0.070960959
GB42218	-0.547747341
GB42219	-0.843018786
GB42220	0.754496271
GB42216	-0.806506547
GB42222	-0.474565625
GB42223	1.086700941
GB42224	-0.300708625
GB42225	-0.069390975
GB42227	0.433998571
GB42215	0.718943903
GB42228	-0.691735514
GB42213	0.356179831
GB42230	0.100629825
GB42231	-0.422755159
GB42211	-0.05901789
GB42210	0.501607727
GB42209	0.265777441
GB42233	0.002287666
GB42208	-0.673832099
GB42207	-0.265725834
GB42234	-0.265731695
GB42206	0.102472448
GB42236	0.986095273
GB42205	-1.298540575
GB42237	-0.219955323
GB42204	0.091414292
GB42238	0.624177542
GB42239	0.705807436
GB42241	-0.009738814
GB42244	0.732433228
GB42203	0.107811019
GB42245	0.002918511
GB42246	0.375498122
GB42247	0.370436896
GB42249	-0.352353871
GB42202	0.528076002
GB42201	1.417056148
GB42250	-0.616555942
GB42200	0.798962684
GB42198	0.339071736
GB42252	0.279904877
GB42196	-0.112782438
GB40024	-0.037365943
GB40023	-0.234511112
GB40025	0.205486985
GB40026	-0.218289698
GB40027	1.734309887
GB40022	-0.188137689
GB40021	-0.071139416
GB40028	-0.309657958
GB40029	0.373711283
GB40020	-0.607454465
GB40030	-0.160337
GB40019	0.2945088
GB40018	-0.139277415
GB40032	0.142857168
GB40017	0.155559941
GB40016	0.653875075
GB40015	-0.161993284
GB40014	-0.325991795
GB40033	-0.087127671
GB40013	-0.206388538
GB40012	0.237303398
GB40011	1.472189194
GB40034	-0.021726355
GB40010	0.573021604
GB40008	0.777276766
GB40007	0.919616535
GB40006	0.231619386
GB40005	0.508119076
GB40002	0.011541294
GB40001	-0.263190682
GB55329	0.014784681
GB55328	0.41220338
GB55326	0.325389364
GB55325	0.179918206
GB55324	-0.280569536
GB55323	-0.036943439
GB55330	1.027974621
GB55331	-0.035775391
GB55332	2.95449508
GB55322	0.262578844
GB55321	0.868668434
GB55320	6.371964351
GB55319	0.209985252
GB55318	-0.081781595
GB55317	-0.146672226
GB55316	0.472165099
GB55315	0.907120757
GB55333	-0.072813261
GB55334	0.405238389
GB55335	0.755964401
GB55336	-0.230404655
GB55313	-0.282407173
GB55337	1.660160666
GB55312	2.684191922
GB55311	0.019735883
GB55338	-0.526405306
GB51943	-0.452191223
GB51941	-0.342176461
GB51940	0.138550031
GB51939	0.74697045
GB51938	-0.399286067
GB51945	0.022539923
GB51937	-0.432457318
GB51936	-0.496411971
GB51935	-0.028369016
GB51946	-0.123800292
GB51934	-0.486459801
GB51947	0.747831586
GB51933	-0.314992153
GB51932	-0.171960484
GB51948	-0.320039465
GB51949	0.346862379
GB51931	0.514202565
GB51930	-0.377784982
GB49728	-0.059239152
GB49730	0.689728718
GB49732	0.61436387
GB49727	0.405308781
GB49734	1.395831606
GB49726	-0.128108217
GB49735	-0.299501733
GB49736	-0.065057344
GB49737	0.214494075
GB49738	0.56993048
GB49725	1.295722612
GB47448	-0.638113801
GB47446	-0.026495693
GB47445	-0.35189885
GB47449	0.128267925
GB47443	-0.811323984
GB47450	-0.026956901
GB47441	-0.534557352
GB47451	0.385277993
GB47440	0.060494107
GB47452	-0.710081606
GB47453	0.108971397
GB47439	0.386278037
GB47438	-0.377145745
GB47437	0.231591077
GB47436	0.07308807
GB47454	-0.635786065
GB47455	-0.772621
GB47456	0.312964916
GB47457	-0.407453576
GB47458	-0.268328641
GB47435	-0.413092572
GB47459	-0.90768733
GB47460	-0.460757093
GB47461	-0.776031808
GB47434	-0.439628044
GB47433	-0.199619346
GB47432	-0.238323735
GB47462	-0.009565399
GB47431	-0.363148136
GB47430	-0.137239441
GB47429	-0.020071141
GB47463	-0.500162409
GB47428	-0.469278361
GB47427	-0.400766222
GB47464	-0.122410538
GB47465	0.151123124
GB47425	-0.112005381
GB47424	-0.036504882
GB47466	-0.275578781
GB47423	0.569534626
GB47422	0.097679324
GB47467	0.087250651
GB47468	-0.08624468
GB47420	0.279689021
GB47469	0.13824382
GB47470	-0.122578481
GB47471	-0.695127144
GB47419	-0.494363605
GB47418	-0.542762654
GB47472	-0.32343218
GB47473	0.339896836
GB47417	-0.126551193
GB47474	0.102361439
GB47475	0.178433819
GB47415	-0.066924815
GB47476	-0.267785331
GB47414	-0.39019414
GB47477	-0.705940529
GB47413	-0.51771351
GB47478	0.655131361
GB47412	0.196251849
GB47411	0.669922143
GB47480	0.535353149
GB47481	0.29853865
GB47409	-0.45622757
GB47482	0.301015173
GB47408	0.362864364
GB47483	-0.445374668
GB47407	0.231515221
GB47484	-0.685622447
GB47485	0.499977855
GB47406	0.399232312
GB47486	0.006391243
GB47487	-0.282116512
GB47488	-0.068371011
GB47489	-0.041060561
GB47405	-1.038671374
GB47404	-0.108405829
GB47403	-0.670031292
GB47402	2.760056275
GB47491	-0.311117765
GB47492	0.5849804
GB47401	-0.152609686
GB47400	0.392209104
GB47399	-0.000555797
GB47493	0.080069805
GB47494	-0.22642082
GB47398	-0.019726409
GB47495	0.174796969
GB47395	-0.069295068
GB47394	-0.000186558
GB47496	0.529755075
GB47497	-0.075980626
GB47393	0.112095633
GB47498	0.506127418
GB47392	0.511142138
