target_id	length	eff_length	est_counts	tpm
NM_001042458.1	1737	1568.21	1427	56.3888
NM_001042460.1	1794	1625.21	1288	49.1111
NM_001077808.1	5328	5159.21	177.628	2.13355
NM_001077809.1	1344	1175.21	0.353279	0.0186284
NM_001077810.1	354	190.224	407.095	132.619
NM_001077811.1	1287	1118.21	1.45734	0.0807626
NM_001077812.1	1470	1301.21	39	1.85733
NM_001077813.1	3226	3057.21	182.546	3.70015
NM_001077814.1	387	221.298	1.62276	0.454411
NM_001077815.1	1855	1686.21	9.604	0.35295
NM_001077816.1	1530	1361.21	0	0
NM_001077817.1	1194	1025.21	9.80174	0.592466
NM_001077818.1	1707	1538.21	0	0
NM_001077819.1	378	212.758	125.68	36.6061
NM_001077820.1	351	187.474	20	6.61093
NM_001077821.1	4097	3928.21	29	0.457484
NM_001077822.1	1533	1364.21	0	0
NM_001077823.2	516	347.664	2031	362.013
NM_001077824.1	1842	1673.21	11	0.407394
NM_001077825.1	1158	989.211	1	0.0626447
NM_001078661.1	315	154.397	14	5.61904
NM_001079560.1	1607	1438.21	54	2.32672
NM_001079561.1	1701	1532.21	21.1298	0.854576
NM_001080094.2	2123	1954.21	111.191	3.5259
NM_001080095.1	1590	1421.21	24.3541	1.06191
NM_001080110.1	2703	2534.21	163.165	3.98985
NM_001080205.1	2713	2544.21	238.815	5.81676
NM_001083630.1	1713	1544.21	220.254	8.83875
NM_001085344.1	515	346.664	2	0.357515
NM_001085345.1	1491	1322.21	2	0.0937351
NM_001085346.1	509	340.766	49.6711	9.03276
NM_001097154.2	1766	1597.21	4428	171.798
NM_001098167.1	767	598.285	3255.14	337.159
NM_001098214.1	1863	1694.21	16.6343	0.608431
NM_001098215.2	2635	2466.21	0	0
NM_001098217.1	2187	2018.21	39.245	1.20501
NM_001098218.1	2148	1979.21	557	17.4396
NM_001098219.1	2139	1970.21	5.05033	0.158847
NM_001098220.1	1806	1637.21	95	3.59577
NM_001098221.1	1763	1594.21	26.9637	1.04811
NM_001098223.1	1436	1267.21	185	9.04682
NM_001098224.2	1333	1164.21	31	1.65007
NM_001098228.1	1286	1117.21	0	0
NM_001098229.1	1284	1115.21	34	1.88927
NM_001098232.1	1146	977.211	1	0.063414
NM_001098234.1	462	294.405	0	0
NM_001098717.1	2199	2030.21	29161	890.091
NM_001101023.1	3033	2864.21	30128.8	651.852
NM_001104949.1	3122	2953.21	147.318	3.09126
NM_001110712.2	754	585.285	0	0
NM_001110764.1	2606	2437.21	4983	126.698
NM_001111255.1	2504	2335.21	0	0
NM_001112670.1	3330	3161.21	1605.82	31.4787
NM_001112671.1	3001	2832.21	8.98112	0.196507
NM_001112672.2	1701	1532.21	943.148	38.1447
NM_001113285.1	2779	2610.21	29	0.688487
NM_001113739.1	1509	1340.21	309.85	14.3269
NM_001114188.1	1950	1781.21	0	0
NM_001114198.1	730	561.285	2425.2	267.755
NM_001115078.1	2659	2490.21	132.009	3.28503
NM_001123013.2	6157	5988.21	176.088	1.82224
NM_001126243.1	2328	2159.21	6	0.172198
NM_001126244.1	1674	1505.21	11	0.452865
NM_001131037.1	1164	995.211	0	0
NM_001131038.1	2722	2553.21	1280	31.0668
NM_001134227.1	1704	1535.21	61.1508	2.46835
NM_001134333.1	282	125.189	0	0
NM_001134371.1	591	422.476	468	68.6462
NM_001134668.1	2541	2372.21	2743	71.6549
NM_001134669.1	584	415.476	5	0.745756
NM_001134722.1	105	12.2558	8.26317	41.781
NM_001134828.1	1495	1326.21	1726.02	80.6505
NM_001134934.1	3281	3112.21	23.7279	0.472459
NM_001134935.1	2337	2168.21	0	0
NM_001134936.1	1992	1823.21	0	0
NM_001134940.1	1464	1295.21	43	2.05732
NM_001134942.1	1621	1452.21	939	40.069
NM_001134943.1	1434	1265.21	0	0
NM_001134947.1	1760	1591.21	118	4.59544
NM_001134948.1	3181	3012.21	1738.47	35.7647
NM_001134949.1	3346	3177.21	300.353	5.85813
NM_001134950.1	2295	2126.21	31.9383	0.930847
NM_001135735.1	1032	863.211	2988	214.505
NM_001135905.1	488	320.065	5043	976.39
NM_001135909.1	320	158.959	13606	5304.19
NM_001136187.1	614	445.476	1452	201.983
NM_001136206.1	1002	833.211	7	0.520614
NM_001136207.1	930	761.211	24	1.9538
NM_001136208.1	1008	839.211	5	0.369209
NM_001136209.1	1029	860.211	30	2.16117
NM_001141964.1	2248	2079.21	7858.1	234.203
NM_001142436.1	1295	1126.21	709.357	39.0318
NM_001142461.1	824	655.285	735	69.5073
NM_001142561.1	1943	1774.21	20.9872	0.733032
NM_001142607.1	642	473.338	0	0
NM_001142609.1	1671	1502.21	1112.88	45.9083
NM_001142637.1	999	830.211	21575	1610.41
NM_001142656.2	710	541.285	230.259	26.3611
NM_001142693.1	1386	1217.21	8	0.407284
NM_001143878.1	1377	1208.21	12.1719	0.624294
NM_001143879.1	1428	1259.21	30.0944	1.48102
NM_001143880.1	1470	1301.21	0	0
NM_001143921.1	2102	1933.21	0	0
NM_001144839.1	492	324.065	5211	996.464
NM_001145735.1	1305	1136.21	295	16.0893
NM_001145736.1	2424	2255.21	60.8813	1.6729
NM_001145737.1	2433	2264.21	22.3194	0.610856
NM_001145738.1	2787	2618.21	17.7464	0.420029
NM_001145739.1	2553	2384.21	7.6552	0.198969
NM_001145740.1	3633	3464.21	78	1.39529
NM_001159303.1	1404	1235.21	0	0
NM_001159355.1	2782	2613.21	1645.74	39.0265
NM_001160048.1	2747	2578.21	28484	684.63
NM_001160050.1	2417	2248.21	203617	5612.42
NM_001160052.1	2920	2751.21	37663	848.329
NM_001160064.1	2844	2675.21	62722	1452.9
NM_001160072.1	2237	2068.21	2351	70.4419
NM_001160270.1	698	529.338	655.804	76.774
NM_001160405.2	2980	2811.21	4723	104.111
NM_001161709.2	856	687.285	2465	222.256
NM_001161787.1	927	758.211	3291.66	269.029
NM_001161788.1	843	674.285	116.338	10.6918
NM_001161831.1	683	514.338	2872	346.026
NM_001162398.1	165	35.4678	1041	1818.82
NM_001162513.1	4073	3904.21	0	0
NM_001162516.1	1758	1589.21	179.202	6.98772
NM_001163463.1	481	313.193	974	192.717
NM_001163712.1	1155	986.211	568.771	35.7389
NM_001163714.1	1566	1397.21	18.8062	0.834091
NM_001163715.1	854	685.285	249	22.5165
NM_001163716.1	900	731.285	121.998	10.3381
NM_001163717.1	2152	1983.21	17.5444	0.548204
NM_001164008.1	2209	2040.21	58	1.76168
NM_001164809.1	503	334.867	122.795	22.7239
NM_001164810.1	871	702.285	1032.2	91.0806
NM_001165904.1	5715	5546.21	0	0
NM_001165905.1	6135	5966.21	0	0
NM_001165906.1	3754	3585.21	1451.7	25.0921
NM_001167709.1	732	563.285	32	3.52043
NM_001167720.1	599	430.476	34.16	4.91748
NM_001167836.1	1455	1286.21	129	6.21514
NM_001167893.1	1135	966.211	176	11.2879
NM_001168336.1	1053	884.211	1113	78.0032
NM_001168425.1	1144	975.211	815	51.7884
NM_001168700.1	993	824.211	0	0
NM_001170972.1	1128	959.211	94.3839	6.09757
NM_001170973.1	1131	962.211	2372	152.763
NM_001170974.1	1454	1285.21	5272.16	254.207
NM_001171006.1	3549	3380.21	25.2873	0.463587
NM_001171051.1	4101	3932.21	396.827	6.25371
NM_001171108.1	1209	1040.21	1.2257	0.0730188
NM_001171169.1	1520	1351.21	6212.87	284.933
NM_001172378.1	1201	1032.21	22867	1372.82
NM_001172379.1	1114	945.211	4771.6	312.83
NM_001172389.1	1026	857.211	30896.4	2233.54
NM_001172403.1	1330	1161.21	2494.71	133.132
NM_001172404.1	2427	2258.21	5435	149.145
NM_001172405.1	228	79.7146	776.214	603.416
NM_001172406.1	908	739.211	645.289	54.0952
NM_001172718.1	2641	2472.21	1760.02	44.1169
NM_001174139.1	720	551.285	46	5.17077
NM_001174140.1	599	430.476	18	2.59117
NM_001174141.1	1037	868.211	333.208	23.7829
NM_001174142.1	773	604.285	1300	133.314
NM_001174143.1	884	715.285	15563	1348.3
NM_001174144.1	534	365.629	40	6.77942
NM_001174145.1	871	702.285	110	9.70628
NM_001177490.1	1091	922.211	10125	680.359
NM_001177903.1	404	237.717	207	53.9613
NM_001178021.1	842	673.285	1920.24	176.738
NM_001178022.1	816	647.285	0	0
NM_001178023.1	1095	926.211	0	0
NM_001178024.1	1194	1025.21	2602	157.278
NM_001178025.1	2265	2096.21	14.5039	0.428769
NM_001178026.1	2037	1868.21	10004.5	331.852
NM_001178027.1	830	661.285	7156	670.587
NM_001178028.1	1029	860.211	13.0008	0.936564
NM_001178047.1	1538	1369.21	1942.39	87.91
NM_001178048.1	1331	1162.21	2730	145.563
NM_001178067.1	626	457.431	475	64.3489
NM_001178069.1	1627	1458.21	10766.2	457.524
NM_001185079.1	3029	2860.21	988	21.4058
NM_001185086.1	3029	2860.21	988	21.4058
NM_001185104.1	827	658.285	1520	143.088
NM_001185105.1	3075	2906.21	3001.26	63.9956
NM_001185144.1	565	396.517	15188	2373.63
NM_001185145.1	1666	1497.21	40814.4	1689.29
NM_001185146.1	1648	1479.21	79112.6	3314.28
NM_001190421.1	2277	2108.21	296.352	8.71097
NM_001190814.1	460	292.464	1317	279.053
NM_001190920.1	1626	1457.21	108.272	4.60434
NM_001190921.1	1401	1232.21	0.000252686	1.27078e-05
NM_001191048.2	6581	6412.21	33595	324.668
NM_001193290.1	1551	1382.21	897.081	40.2189
NM_001202460.1	1962	1793.21	3.98044	0.137554
NM_001204249.1	2202	2033.21	5	0.152391
NM_001204751.1	3810	3641.21	169.724	2.88849
NM_001205062.1	1790	1621.21	8.90199	0.340268
NM_001205223.1	2006	1837.21	674.101	22.7373
NM_001206466.1	2688	2519.21	497	12.2255
NM_001206467.1	2688	2519.21	497	12.2255
NM_001206969.1	2536	2367.21	354	9.26701
NM_001206970.1	1154	985.211	417	26.2289
NM_001206973.1	2299	2130.21	190.038	5.5283
NM_001214904.1	3024	2855.21	756	16.408
NM_001220486.1	2644	2475.21	1068	26.7382
NM_001220487.1	2747	2578.21	976	23.4587
NM_001242386.1	3284	3115.21	1148	22.8364
NM_001242387.1	7402	7233.21	27029.3	231.567
NM_001242431.1	1343	1174.21	1504.58	79.4039
NM_001242432.1	2433	2264.21	469.02	12.8365
NM_001242433.1	2514	2345.21	2568	67.8557
NM_001242434.1	1729	1560.21	818	32.4895
NM_001242435.1	3041	2872.21	266.189	5.7431
NM_001242436.1	2828	2659.21	6310.54	147.057
NM_001242437.1	2866	2697.21	799.457	18.3676
NM_001242440.1	1971	1802.21	450	15.4732
NM_001242441.1	1971	1802.21	450	15.4732
NM_001242456.1	2803	2634.21	600	14.1148
NM_001242457.1	535	366.592	587.59	99.3263
NM_001242458.1	3602	3433.21	4151	74.9248
NM_001242465.1	1635	1466.21	3215.35	135.895
NM_001242467.1	1154	985.211	1342	84.4105
NM_001242468.1	2560	2391.21	1.45524	0.0377128
NM_001242469.1	571	402.517	11447	1762.3
NM_001242470.1	1756	1587.21	940.62	36.7242
NM_001242513.1	1263	1094.21	2766	156.648
NM_001242514.1	1790	1621.21	2223	84.9715
NM_001242515.1	3238	3069.21	1309.78	26.445
NM_001242516.1	3351	3182.21	1526.22	29.7209
NM_001242517.1	2333	2164.21	583	16.6933
NM_001242518.1	5170	5001.21	1986	24.608
NM_001242519.1	1741	1572.21	7211	284.222
NM_001242520.1	1212	1043.21	3612	214.56
NM_001242522.1	2268	2099.21	5423	160.087
NM_001242523.1	2658	2489.21	1656	41.2261
NM_001242526.1	2334	2165.21	4629	132.483
NM_001242527.1	1268	1099.21	517	29.1462
NM_001242542.1	1798	1629.21	498.271	18.9523
NM_001242544.1	937	768.211	10238	825.863
NM_001242554.1	1848	1679.21	559	20.6291
NM_001242555.1	2075	1906.21	1927.18	62.6505
NM_001242556.1	1877	1708.21	763	27.6794
NM_001242557.1	1847	1678.21	965	35.6331
NM_001242574.1	10144	9975.21	2201.68	13.6775
NM_001242576.1	2969	2800.21	281	6.21854
NM_001242577.1	1283	1114.21	510	28.3646
NM_001242578.1	1330	1161.21	20.7314	1.10635
NM_001242579.1	1701	1532.21	499	20.1816
NM_001242656.1	1337	1168.21	37979.4	2014.65
NM_001242657.1	1242	1073.21	3681.63	212.583
NM_001242958.1	1544	1375.21	0	0
NM_001242959.1	1418	1249.21	0	0
NM_001242960.1	1536	1367.21	0	0
NM_001242961.1	1364	1195.21	1	0.0518476
NM_001242962.1	1569	1400.21	1	0.0442568
NM_001242963.1	1352	1183.21	0	0
NM_001242964.1	1388	1219.21	0	0
NM_001242965.1	1354	1185.21	0	0
NM_001242966.1	1269	1100.21	0	0
NM_001242967.1	1354	1185.21	2	0.10457
NM_001242968.1	1396	1227.21	1	0.0504956
NM_001242969.1	1242	1073.21	1	0.0577415
NM_001242970.1	1355	1186.21	1	0.052241
NM_001242971.1	1446	1277.21	1.4946	0.0725161
NM_001242972.1	1221	1052.21	0	0
NM_001242973.1	1221	1052.21	0	0
NM_001242975.1	1227	1058.21	1	0.05856
NM_001242976.1	1231	1062.21	1	0.0583395
NM_001242977.1	1221	1052.21	3	0.176682
NM_001242978.1	1239	1070.21	0	0
NM_001242979.1	1227	1058.21	0	0
NM_001242980.1	1227	1058.21	1	0.05856
NM_001242981.1	1224	1055.21	0	0
NM_001242982.1	1230	1061.21	0	0
NM_001242983.1	5482	5313.21	401.389	4.68146
NM_001242984.1	1194	1025.21	1.66015	0.100347
NM_001242985.1	1293	1124.21	0	0
NM_001242986.1	1226	1057.21	0	0
NM_001242987.1	1176	1007.21	0	0
NM_001242988.1	1174	1005.21	0	0
NM_001242989.1	1203	1034.21	0	0
NM_001242990.1	1092	923.211	6.7184	0.45096
NM_001242991.1	1092	923.211	0	0
NM_001242993.1	1574	1405.21	0	0
NM_001242994.1	1611	1442.21	0.0447672	0.00192355
NM_001242997.1	1195	1026.21	1221	73.7313
NM_001242998.1	1492	1323.21	1247	58.3997
NM_001242999.1	2663	2494.21	1495	37.1434
NM_001246251.1	615	446.476	6	0.832772
NM_001246667.1	5073	4904.21	364.982	4.61185
NM_001252019.1	6272	6103.21	803.485	8.15816
NM_001252424.1	1575	1406.21	0	0
NM_001252426.1	1941	1772.21	0	0
NM_001252428.1	1113	944.211	1	0.0656303
NM_001252430.1	1077	908.211	2	0.136463
NM_001252432.1	1008	839.211	3.55852	0.262767
NM_001256032.1	3561	3392.21	123.777	2.26116
NM_001256034.1	7969	7800.21	2667	21.188
NM_001256035.1	4018	3849.21	1083	17.4353
NM_001256037.1	10767	10598.2	8574.84	50.1379
NM_001256038.1	2047	1878.21	799	26.3618
NM_001256039.1	6033	5864.21	174.642	1.84549
NM_001256040.1	10114	9945.21	1742	10.8545
NM_001265585.1	1302	1133.21	401.463	21.9537
NM_001270813.1	928	759.211	1603	130.841
NM_001270814.1	496	328	1539	290.762
NM_001270815.1	989	820.211	44903	3392.52
NM_001270817.1	773	604.285	250003	25637.6
NM_001270818.1	980	811.211	268984	20547.8
NM_001270819.1	1615	1446.21	1577	67.573
NM_001270820.1	885	716.285	266	23.0128
NM_001270821.1	1558	1389.21	108	4.81758
NM_001270822.1	1840	1671.21	356	13.2005
NM_001270823.1	804	635.285	25	2.43862
NM_001270824.1	462	294.405	127270	26788.9
NM_001270825.1	865	696.285	27365	2435.46
NM_001270826.1	1183	1014.21	42	2.56622
NM_001270827.1	1201	1032.21	3611	216.786
NM_001270828.1	976	807.211	19826	1522.02
NM_001270829.1	1181	1012.21	2344	143.503
NM_001270830.1	1123	954.211	3959	257.107
NM_001270831.1	750	581.285	68284	7279.53
NM_001270832.1	765	596.285	105.98	11.014
NM_001270833.1	606	437.476	38.8698	5.50594
NM_001276427.1	1431	1262.21	26.2277	1.28766
NM_001277299.1	5618	5449.21	3003	34.1503
NM_001277300.1	1954	1785.21	867	30.0956
NM_001277301.1	7263	7094.21	2260.46	19.7454
NM_001278325.1	2201	2032.21	43.4179	1.32395
NM_001278326.1	3007	2838.21	662.47	14.4642
NM_001278327.1	2360	2191.21	480.049	13.5761
NM_001278328.1	1954	1785.21	694.851	24.1199
NM_001278329.1	3778	3609.21	344.418	5.91353
NM_001278330.1	3672	3503.21	6062	107.232
NM_001278331.1	6994	6825.21	1084	9.84207
NM_001278332.1	505	336.8	214	39.3745
NM_001278333.1	1754	1585.21	1219	47.6529
NM_001278334.1	2023	1854.21	128.476	4.29373
NM_001278335.1	6666	6497.21	1474.9	14.0672
NM_001278336.1	2762	2593.21	0	0
NM_001278337.1	1854	1685.21	363.899	13.3813
NM_001278338.1	2410	2241.21	16.0948	0.445015
NM_001278679.1	2847	2678.21	1107.45	25.6244
NM_001278680.1	597	428.476	35.4466	5.1265
NM_001278681.1	3437	3268.21	3757	71.2368
NM_001278705.1	1379	1210.21	551	28.2139
NM_001278706.1	1900	1731.21	206	7.37378
NM_001278707.1	2937	2768.21	2092	46.8312
NM_001289441.1	1284	1115.21	4.45293	0.247436
NM_001305884.1	1870	1701.21	30.2151	1.10062
NM_001314079.1	804	635.285	0	0
NM_001318482.1	1108	939.211	6	0.395878
NM_001319268.1	3782	3613.21	909.909	15.6055
NM_001319269.1	1239	1070.21	1615	93.5139
NR_003565.1	7091	6922.21	0	0
NR_003566.1	6861	6692.21	119690	1108.31
NR_003567.1	17525	17356.2	3	0.0107112
NR_024131.1	3359	3190.21	66.6211	1.29409
NR_031508.1	87	14.1418	1	4.38196
NR_031509.1	83	15.0211	0	0
NR_031510.1	77	16.7586	2	7.39545
NR_031511.1	107	12.4172	46	229.565
NR_031512.1	89	14.56	0	0
NR_031513.1	92	11.7563	8	42.1689
NR_031514.1	85	14.7748	0	0
NR_031515.1	102	11.7763	0	0
NR_031516.1	91	12.7363	0	0
NR_031517.1	84	14.9902	3	12.4019
NR_031518.1	84	14.9902	4	16.5358
NR_031519.1	92	11.7563	4	21.0845
NR_031520.1	103	11.8393	0	0
NR_031521.1	92	11.7563	12	63.2534
NR_031522.1	89	14.56	0	0
NR_031523.1	84	14.9902	0	0
NR_031524.1	90	13.48	33	151.704
NR_031525.1	82	16.2439	0	0
NR_031526.1	90	13.48	0	0
NR_031527.1	87	14.1418	2	8.76393
NR_031528.1	85	14.7748	2	8.38846
NR_031529.1	87	14.1418	32	140.223
NR_031530.1	92	11.7563	0	0
NR_031531.1	85	14.7748	0	0
NR_034280.1	83	15.0211	1.5	6.18819
NR_034281.1	100	11.3035	0	0
NR_034282.1	100	11.3035	1	5.48227
NR_034283.1	100	11.3035	3	16.4468
NR_034284.1	100	11.3035	0	0
NR_034285.1	100	11.3035	2	10.9645
NR_034286.1	100	11.3035	4	21.9291
NR_034287.1	100	11.3035	4	21.9291
NR_034288.1	100	11.3035	1	5.48227
NR_034289.1	100	11.3035	1	5.48227
NR_034290.1	100	11.3035	1	5.48227
NR_034291.1	100	11.3035	0	0
NR_034292.1	100	11.3035	0	0
NR_034293.1	100	11.3035	0	0
NR_034294.1	100	11.3035	1	5.48227
NR_034295.1	100	11.3035	0	0
NR_034296.1	100	11.3035	0	0
NR_034297.1	100	11.3035	0	0
NR_034298.1	100	11.3035	5	27.4113
NR_034299.1	100	11.3035	0	0
NR_034300.1	100	11.3035	1	5.48227
NR_034301.1	100	11.3035	0	0
NR_034302.1	100	11.3035	0	0
NR_034303.1	100	11.3035	0	0
NR_034304.1	100	11.3035	0	0
NR_034305.1	100	11.3035	0	0
NR_034306.1	100	11.3035	4	21.9291
NR_034307.1	79	16.2059	0	0
NR_034308.1	91	12.7363	1	4.86552
NR_034309.1	91	12.7363	0	0
NR_034310.1	94	11.5464	0.5	2.68347
NR_034311.1	94	11.5464	0.5	2.68347
NR_034312.1	85	14.7748	0	0
NR_034313.1	91	12.7363	1	4.86552
NR_034314.1	62	17.6957	0	0
NR_034315.1	94	11.5464	0	0
NR_034316.1	89	14.56	0	0
NR_034317.1	89	14.56	0	0
NR_034319.1	83	15.0211	1.5	6.18819
NR_039428.1	108	12.631	0	0
NR_039429.1	138	21.3531	1	2.9021
NR_039430.1	119	15.2068	0	0
NR_039431.1	133	19.4371	0	0
NR_039432.1	107	12.4172	0	0
NR_039433.1	93	11.3247	0	0
NR_039434.1	88	14.6331	0	0
NR_039435.1	115	14.083	0	0
NR_039436.1	132	19.0816	0	0
NR_039437.1	67	19.1071	0	0
NR_039438.1	101	11.6022	0	0
NR_039439.1	115	14.083	0	0
NR_039440.1	90	13.48	0	0
NR_039441.1	126	17.1832	0	0
NR_039442.1	140	22.179	0	0
NR_039443.1	137	20.9949	0	0
NR_039444.1	108	12.631	0	0
NR_039445.1	112	13.5149	13	59.6078
NR_039446.1	129	18.1054	3	10.268
NR_039447.1	87	14.1418	0	0
NR_039448.1	111	13.2971	0	0
NR_039449.1	136	20.5735	0	0
NR_039450.1	120	15.4931	0	0
NR_039451.1	129	18.1054	0	0
NR_039452.1	80	16.3056	0	0
NR_039453.1	135	20.2116	0	0
NR_039454.1	92	11.7563	98	516.569
NR_039455.1	139	21.7808	0	0
NR_039456.1	105	12.2558	0	0
NR_039457.1	121	15.7596	5	19.6607
NR_039458.1	140	22.179	13	36.3223
NR_039459.1	126	17.1832	0	0
NR_039460.1	135	20.2116	2	6.13201
